negatives
"('O95897', 'A2RRP1')"
"('Q92993', 'P0C0S5')"
"('P05556', 'Q03135')"
"('Q14919', 'P37275')"
"('Q15365', 'Q92620')"
"('P18146', 'Q9NQU5')"
"('Q14511', 'O14965')"
"('P19838', 'P32881')"
"('A0JLT2', 'O95402')"
"('Q13315', 'Q99575')"
"('Q06187', 'P16885')"
"('P47710', 'Q9H0E2')"
"('Q08345', 'Q8TEW0')"
"('O43617', 'P49327')"
"('P50570', 'Q9NX70')"
"('P55157', 'Q9BYB0')"
"('P48551', 'P50591')"
"('Q04917', 'O60565')"
"('Q99558', 'P34931')"
"('P18206', 'P02786')"
"('P23258', 'P68363')"
"('Q8NFH5', 'O15504')"
"('Q9HBA0', 'P06241')"
"('Q9H2V7', 'Q86UT6')"
"('P04637', 'Q8WUF5')"
"('P01106', 'Q96I59')"
"('P14616', 'Q07889')"
"('Q9Y4K3', 'P49407')"
"('Q8NI35', 'Q8N7P3')"
"('O75145', 'P27986')"
"('Q13889', 'Q13216')"
"('Q7Z4Q2', 'Q9Y4K3')"
"('P19793', 'Q6P2C8')"
"('Q9P2R6', 'O15162')"
"('Q16236', 'Q16881')"
"('Q14653', 'P33681')"
"('Q16619', 'Q6UXL0')"
"('P35626', 'Q6IF00')"
"('Q01780', 'Q5JPE7')"
"('Q99459', 'P49368')"
"('Q93077', 'Q8N257')"
"('P62899', 'P61254')"
"('P08069', 'P18031')"
"('O43707', 'P68032')"
"('O00303', 'Q92574')"
"('O60262', 'Q99677')"
"('P46108', 'Q07912')"
"('O95340', 'P40337')"
"('Q86UV6', 'Q99816')"
"('P61224', 'O00522')"
"('P06858', 'P53350')"
"('P23497', 'Q9BXL5')"
"('P49716', 'P00441')"
"('O15287', 'Q14469')"
"('O95983', 'Q16576')"
"('P62330', 'P22102')"
"('Q15050', 'Q92624')"
"('Q9P2H0', 'P30519')"
"('P63279', 'Q9NR12')"
"('Q00535', 'P42858')"
"('Q9NZT2', 'Q9Y2Q3')"
"('Q9UBF8', 'P31947')"
"('Q8NGD4', 'P38405')"
"('O14965', 'O15111')"
"('P60891', 'Q9NZD8')"
"('P13612', 'P26010')"
"('P08514', 'Q9Y490')"
"('P68431', 'Q9UJW3')"
"('P51817', 'Q07699')"
"('P05107', 'P63244')"
"('P63104', 'Q9UHB6')"
"('O75815', 'P62750')"
"('Q15796', 'Q9GZV5')"
"('Q05513', 'P46527')"
"('Q02447', 'Q06546')"
"('P63208', 'Q99618')"
"('Q9UL25', 'Q14164')"
"('P01889', 'P48147')"
"('Q13464', 'Q99816')"
"('P48736', 'O15530')"
"('A6NIT4', 'P26992')"
"('P17612', 'O95622')"
"('Q9NRI5', 'Q9UPT5')"
"('P18146', 'P15498')"
"('P0C1H6', 'P0C5Y9')"
"('Q63HM2', 'P09467')"
"('Q14164', 'O00487')"
"('Q8TDN6', 'Q9Y5S2')"
"('Q8IZH2', 'P01106')"
"('Q13627', 'P08151')"
"('O75335', 'P19174')"
"('P48549', 'O00555')"
"('O15162', 'O00629')"
"('P61956', 'Q92934')"
"('P36897', 'Q03167')"
"('P61978', 'Q9UNW9')"
"('O60674', 'Q13153')"
"('Q99567', 'P12270')"
"('P46821', 'P53355')"
"('Q96I25', 'Q13573')"
"('P28222', 'P50150')"
"('O00222', 'P04899')"
"('Q8N2W9', 'P12956')"
"('O60663', 'O00505')"
"('Q9Y421', 'Q9HCG8')"
"('Q9P0M6', 'Q9UQL6')"
"('P05362', 'P19174')"
"('P67870', 'Q96NZ8')"
"('Q12933', 'Q9H2K8')"
"('P09486', 'Q13418')"
"('P18124', 'P08238')"
"('P17252', 'P05556')"
"('P11021', 'P20333')"
"('Q06418', 'P06241')"
"('Q9UKR5', 'Q92561')"
"('Q14164', 'P51532')"
"('Q15907', 'P14672')"
"('Q99459', 'P46940')"
"('Q13315', 'Q5T200')"
"('Q9Y4K3', 'P09936')"
