negatives
"('Q14966', 'Q96ED9')"
"('P49768', 'O75460')"
"('P19438', 'Q9UKB1')"
"('Q15560', 'O14907')"
"('Q9UNH6', 'P30519')"
"('Q13227', 'Q13547')"
"('Q6ZUJ8', 'Q15811')"
"('P02652', 'P05090')"
"('P16066', 'Q92542')"
"('Q9P0V3', 'P17987')"
"('Q5T3J3', 'P61224')"
"('Q92830', 'O75529')"
"('P24071', 'Q8IYS5')"
"('P43146', 'Q8IZJ1')"
"('Q15287', 'P57721')"
"('P03923', 'O95139')"
"('Q9BTW9', 'O15198')"
"('O60684', 'Q9Y6F8')"
"('O15169', 'P25054')"
"('Q8WTW4', 'P12931')"
"('P62993', 'P98082')"
"('P01889', 'Q09028')"
"('Q13797', 'Q9HBI1')"
"('Q96RG2', 'Q16595')"
"('Q9NPF5', 'Q9H0E9')"
"('P29459', 'P38484')"
"('P20823', 'P62158')"
"('P23025', 'Q92889')"
"('P15248', 'P40238')"
"('P10912', 'P26045')"
"('O75369', 'P18564')"
"('Q15428', 'P09651')"
"('P62306', 'Q9Y4Y9')"
"('Q15437', 'Q13573')"
"('Q92569', 'O00329')"
"('Q9NXX6', 'Q96SB8')"
"('Q5T3J3', 'O15235')"
"('P61313', 'Q92901')"
"('Q9NYQ7', 'O60318')"
"('P08134', 'Q13177')"
"('P00488', 'P20073')"
"('O75925', 'P52630')"
"('Q9Y4Y9', 'P62310')"
"('P62753', 'P62273')"
"('Q15067', 'P98095')"
"('P50395', 'O00141')"
"('O60566', 'O76070')"
"('O15379', 'O60814')"
"('Q16570', 'P09341')"
"('Q9BQA1', 'P27348')"
"('Q9HCS4', 'Q99594')"
"('P11142', 'Q01201')"
"('P62851', 'P42677')"
"('O95257', 'Q8NAF0')"
"('P20248', 'P19525')"
"('P19532', 'P55209')"
"('O00463', 'Q13490')"
"('P56537', 'Q9HAV7')"
"('Q03111', 'P55197')"
"('P40225', 'P19235')"
"('P62837', 'Q96DX4')"
"('P51668', 'Q9NS56')"
"('Q07890', 'P19438')"
"('Q7LBR1', 'P40818')"
"('P11215', 'P48736')"
"('Q96KM6', 'Q9H2K2')"
"('Q13017', 'Q07889')"
"('Q99759', 'Q9BUF5')"
"('Q92769', 'Q93077')"
"('P50150', 'P35498')"
"('O95352', 'Q96EB6')"
"('Q93009', 'P63208')"
"('Q04864', 'Q04206')"
"('Q15796', 'Q9H0M0')"
"('Q13352', 'P35609')"
"('Q9UHB6', 'P13569')"
"('Q8N5C8', 'Q9NYJ8')"
"('Q9BQ67', 'Q96DI7')"
"('Q8WTS6', 'Q04206')"
"('P62750', 'P62987')"
"('P10275', 'P60763')"
"('Q7Z6G3', 'P20807')"
"('Q9Y2A7', 'P31946')"
"('Q5SWA1', 'P62136')"
"('Q86U42', 'P06748')"
"('406991', 'Q13126')"
"('P14921', 'P10275')"
"('P27361', 'P49815')"
"('Q01094', 'P04198')"
"('P50395', 'P20339')"
"('P23396', 'Q9UKV8')"
"('P18206', 'Q14781')"
"('Q9H1I8', 'Q13573')"
"('O60262', 'P28482')"
"('P27540', 'P00450')"
"('P25786', 'P49721')"
"('A0JLT2', 'Q13523')"
"('Q53FD0', 'Q15834')"
"('O00257', 'P46937')"
"('Q9UDY8', 'Q13098')"
"('P31150', 'Q9UET6')"
"('Q15154', 'Q8WYH8')"
"('Q13526', 'Q9UER7')"
"('Q9HBH0', 'O96013')"
"('Q6UN15', 'Q9NZC7')"
"('Q01844', 'P49910')"
"('P05129', 'P02545')"
"('Q13200', 'P20333')"
"('Q8HWS3', 'P48380')"
"('Q8TDS4', 'P04899')"
"('Q9UI95', 'Q12834')"
"('Q71SY5', 'P06239')"
"('Q9NYJ8', 'Q9Y6K9')"
"('Q9UDV6', 'Q14192')"
"('P32121', 'A6NHA9')"
"('Q9Y4K3', 'O43734')"
"('P61604', 'Q9UKY1')"
"('Q9H4A3', 'Q15714')"
"('P02511', 'Q13616')"
"('P04626', 'Q7Z6G8')"
"('P06400', 'P29590')"
"('Q96BD6', 'Q15369')"
"('Q9UQM7', 'Q02641')"
"('Q6NUP7', 'Q9UGN5')"
"('P62308', 'P62304')"
"('P56856', 'Q9Y5I7')"
"('O43264', 'Q6NUQ1')"
"('P02452', 'Q13683')"
"('P22392', 'P28070')"
"('Q13485', 'Q00341')"
"('Q9UHF0', 'O95163')"
"('Q96CW5', 'Q9NRH3')"
"('P35626', 'Q9P1Q5')"
"('P46108', 'P29320')"
"('P61077', 'Q14258')"
"('Q8N1F8', 'Q13485')"
"('Q9P0M6', 'Q99879')"
"('Q13535', 'O43823')"
"('P01571', 'P19235')"
"('Q9C035', 'Q9Y2X8')"
"('Q09472', 'P55854')"
"('O43741', 'Q12778')"
"('P15336', 'Q8IU81')"
"('O95677', 'O95343')"
"('O15239', 'O95299')"
"('P46781', 'P62241')"
"('P31942', 'P02766')"
"('Q99879', 'Q71UI9')"
"('P62987', 'P47914')"
"('P63000', 'Q16584')"
"('P04899', 'P61073')"
"('Q96NY8', 'Q8TEW0')"
"('Q13588', 'P11274')"
"('P22612', 'P60510')"
"('O00744', 'O75084')"
"('P17947', 'P04150')"
"('Q01484', 'P32004')"
"('P43686', 'P55036')"
"('O43791', 'Q13077')"
"('Q13554', 'Q12968')"
"('P12931', 'P56945')"
"('P51654', 'O14905')"
"('Q15287', 'Q92620')"
"('P54646', 'P46527')"
"('P01111', 'P53779')"
"('P05013', 'Q8N6P7')"
"('P55084', 'P18206')"
"('P63000', 'P68133')"
"('P32246', 'Q9HBG4')"
"('P62191', 'O00487')"
"('Q9GZL7', 'P67870')"
"('P20749', 'Q92993')"
"('Q92793', 'P14780')"
"('P46777', 'P67870')"
"('Q15465', 'Q99835')"
"('O60674', 'Q6S5L8')"
"('Q04759', 'O43318')"
"('O95400', 'P50053')"
"('P56537', 'P06753')"
"('P49756', 'Q15428')"
"('Q14197', 'Q9BZE1')"
"('Q5T2W1', 'P11274')"
"('O43820', 'Q92979')"
"('Q14686', 'Q9UPY3')"
"('Q7L5N1', 'P84090')"
"('P47898', 'P50151')"
"('P15927', 'P04406')"
"('Q9BX67', 'O75970')"
"('Q13617', 'P23508')"
"('Q15047', 'Q8NHV9')"
"('P32969', 'Q8IUQ4')"
"('P05997', 'P16070')"
"('P17252', 'Q08828')"
"('P30154', 'Q9Y698')"
"('Q8WXD5', 'Q9H840')"
"('P22694', 'P13807')"
"('P51965', 'P06899')"
"('Q92888', 'Q9UBT7')"
"('O15169', 'Q9BVJ6')"
"('Q7Z434', 'Q9NQC7')"
"('P61952', 'Q9HBW0')"
"('Q15831', 'Q9Y3A3')"
"('P30530', 'O43639')"
"('Q07820', 'O43521')"
"('Q9H4M7', 'Q5UIP0')"
"('Q8WWK9', 'P01876')"
"('Q96ST3', 'P24385')"
"('Q15843', 'P62249')"
"('Q8N5R6', 'O14964')"
"('Q16513', 'Q96B18')"
"('Q92793', 'P14060')"
"('Q08170', 'Q8NAV1')"
"('P30511', 'O15533')"
"('O14964', 'P12814')"
"('P37173', 'P30153')"
"('P42768', 'P61158')"
"('Q9NWA0', 'Q15528')"
"('Q13467', 'P35222')"
"('P49841', 'O15169')"
"('P01106', 'Q9BTL4')"
"('Q92769', 'Q8TAQ2')"
"('Q08209', 'Q9UQC2')"
"('P12004', 'Q04206')"
"('P12314', 'Q16539')"
"('Q86Y82', 'P46459')"
"('Q16663', 'P08246')"
"('O60907', 'P62805')"
"('P43250', 'P23945')"
"('Q15906', 'Q9HAF1')"
"('Q13554', 'Q07699')"
"('Q9BTT4', 'P19388')"
"('Q9P0J0', 'Q6UX06')"
"('Q86UR5', 'P06241')"
"('Q9UNE7', 'O95816')"
"('Q15797', 'Q96RN5')"
"('P08138', 'Q00722')"
"('P52747', 'Q14653')"
"('Q16850', 'P18146')"
"('Q9Y4A5', 'Q9Y2X0')"
"('Q99459', 'Q03169')"
"('Q96Q83', 'P68133')"
"('Q9Y241', 'P11171')"
"('P55265', 'Q92900')"
"('Q9BSM1', 'P0C0S5')"
"('Q86WN2', 'P16471')"
"('P14416', 'Q9Y5P8')"
"('P62906', 'P32969')"
"('Q8WYR1', 'P42345')"
"('Q15369', 'Q13617')"
"('P62891', 'P62917')"
"('Q9P2S5', 'P35749')"
"('P62191', 'Q9UKE5')"
"('P84996', 'Q9UP65')"
"('Q96MF7', 'Q9NYB0')"
"('Q9Y4L1', 'Q9Y4K3')"
"('P43405', 'P42224')"
"('P50990', 'P67775')"
"('P46108', 'O43150')"
"('O75159', 'Q13261')"
"('Q2TAY7', 'Q9H0H5')"
"('O95628', 'P62837')"
"('Q00653', 'P62888')"
"('P06454', 'Q15717')"
"('406906', 'P51959')"
"('P62633', 'Q13948')"
"('Q15906', 'Q9NV56')"
"('P43116', 'Q5JWF2')"
"('Q99819', 'P08138')"
"('A6NIJ9', 'P38405')"
"('Q9UKR5', 'Q9NRX3')"
"('P62829', 'P62906')"
"('P03915', 'P03905')"
"('Q9BZS1', 'Q15797')"
"('Q04759', 'P27448')"
"('Q8TB52', 'Q13485')"
"('Q02543', 'P30050')"
"('P51843', 'P10275')"
"('P24864', 'Q13042')"
"('Q8NFJ9', 'Q14203')"
"('Q9GZM8', 'P61981')"
"('Q16659', 'P26572')"
"('P46783', 'P12956')"
"('O60762', 'Q9Y5J5')"
"('P58107', 'Q07889')"
"('O43516', 'O60861')"
"('Q9H8W4', 'Q9UKG1')"
"('P49703', 'P63162')"
"('O15524', 'P35568')"
"('O75164', 'P68431')"
"('Q9UK08', 'Q13698')"
"('Q86U42', 'Q01130')"
"('Q9Y478', 'Q9H2U1')"
"('Q13315', 'Q6IQ49')"
"('P78356', 'Q15287')"
"('Q86YM7', 'Q14517')"
"('Q6P2Q9', 'P55795')"
"('Q9H270', 'P56945')"
"('Q8TAA9', 'Q5SW24')"
"('P61978', 'Q9BXP5')"
"('P32121', 'Q13428')"
