negatives
"('P52756', 'Q9HCE1')"
"('P54707', 'Q5T160')"
"('P22735', 'Q6EMK4')"
"('Q13310', 'P61981')"
"('O14508', 'O60674')"
"('P05455', 'Q13617')"
"('P18206', 'Q9UI47')"
"('P04004', 'Q13330')"
"('P62304', 'O95166')"
"('P16949', 'P37231')"
"('Q8IZ20', 'Q9BQY4')"
"('P63241', 'Q9P287')"
"('Q6I9Y2', 'Q9UI30')"
"('Q15691', 'O75360')"
"('O60716', 'Q15633')"
"('P31749', 'P29317')"
"('Q7Z401', 'Q9P244')"
"('P19447', 'P24928')"
"('O14980', 'Q96GV9')"
"('Q9NRM7', 'P63208')"
"('P35236', 'P53779')"
"('P04040', 'P35573')"
"('Q13148', 'O00411')"
"('Q8N129', 'O15335')"
"('Q86VP6', 'Q9NY61')"
"('P08727', 'O75530')"
"('Q8NGH8', 'P62873')"
"('P07949', 'Q16719')"
"('P02751', 'P62993')"
"('P28070', 'O43242')"
"('Q6E0U4', 'Q05329')"
"('P24941', 'O00311')"
"('O43143', 'Q9NYL9')"
"('P46778', 'O43324')"
"('Q7Z3K3', 'Q86T82')"
"('Q9BYQ3', 'Q5TA76')"
"('Q9BUF5', 'P02751')"
"('Q15910', 'P15336')"
"('O95817', 'O15498')"
"('P13073', 'P30084')"
"('Q8WW22', 'O00231')"
"('P61088', 'Q7L2H7')"
"('P62244', 'Q9HCE7')"
"('Q9Y586', 'P40426')"
"('Q6NUN9', 'P40939')"
"('Q13509', 'O75449')"
"('Q13148', 'P62330')"
"('P84243', 'Q9Y266')"
"('A6NHL2', 'Q99832')"
"('Q9BY77', 'P38919')"
"('Q96HR3', 'Q969H0')"
"('P68400', 'P05412')"
"('Q9UBX2', 'O00425')"
"('Q13557', 'P18846')"
"('Q9P243', 'Q9H869')"
"('Q13526', 'P30307')"
"('Q8TF68', 'Q6K0P9')"
"('P07355', 'Q09472')"
"('Q8TAP6', 'Q15293')"
"('P63010', 'Q96HA1')"
"('P61077', 'Q9BYE7')"
"('P31751', 'Q7Z6J0')"
"('P07900', 'Q15047')"
"('O60341', 'P05230')"
"('O95425', 'Q14807')"
"('P21860', 'P46108')"
"('O43597', 'O60493')"
"('Q93008', 'P84022')"
"('P08151', 'Q13635')"
"('P08243', 'O43175')"
"('Q15154', 'Q9Y2I6')"
"('O95471', 'O14493')"
"('Q9NWT6', 'Q9Y6Q9')"
"('Q9UBI6', 'Q504Q3')"
"('P49747', 'P08514')"
"('Q13936', 'O00499')"
"('P0DPB3', 'O43303')"
"('P46782', 'Q5U5Q3')"
"('Q8TDM6', 'P35222')"
"('Q9BZE0', 'Q8WVJ9')"
"('P41208', 'Q86UY6')"
"('Q8WVP5', 'P61289')"
"('Q969Q6', 'P62714')"
"('O15069', 'Q05397')"
"('P56524', 'Q8TC76')"
"('Q9NR64', 'Q8WVJ2')"
"('Q9BUB7', 'Q9Y2R0')"
"('Q9UBU9', 'O94913')"
"('P46926', 'Q96Q11')"
"('Q9BZE4', 'P19525')"
"('O75569', 'Q9H4M9')"
"('Q7Z353', 'Q5TD97')"
"('P0DMU8', 'O00560')"
"('Q9BUZ4', 'Q15427')"
"('P06493', 'P30153')"
"('Q8N9I9', 'Q9NR21')"
"('Q9Y394', 'O43291')"
"('P14373', 'Q13547')"
"('P46108', 'Q14289')"
"('P51784', 'P61619')"
"('P18669', 'P00441')"
"('Q5JR59', 'Q9NVL8')"
"('P58012', 'P78362')"
"('Q93008', 'Q6R327')"
"('Q8NC51', 'O14746')"
"('P11387', 'Q9NS56')"
"('Q00978', 'P42229')"
"('Q9UMN6', 'Q16612')"
"('P26641', 'P49841')"
"('O94842', 'O75533')"
"('Q9NPJ6', 'Q96LB3')"
"('P23416', 'Q9NRU3')"
"('Q86YT6', 'P01106')"
"('Q03188', 'P62807')"
"('Q7L576', 'P54274')"
"('O43324', 'P04049')"
"('Q6PI78', 'Q7KZN9')"
"('P27658', 'Q53EZ4')"
