negatives
"('Q1KMD3', 'Q14240')"
"('P62979', 'P26358')"
"('Q9UBD9', 'Q14626')"
"('Q96BV0', 'Q16659')"
"('O15519', 'Q13490')"
"('Q9BZY9', 'Q96JG8')"
"('P84022', 'Q05066')"
"('Q13315', 'Q9NQT8')"
"('P45983', 'P05067')"
"('O75569', 'Q14558')"
"('P40337', 'Q16665')"
"('Q6P1J9', 'Q8TB96')"
"('P34932', 'Q6P1J9')"
"('P22105', 'Q05397')"
"('Q15714', 'P46379')"
"('P07996', 'P13612')"
"('Q13535', 'Q12857')"
"('P33993', 'P33991')"
"('P17302', 'P68366')"
"('Q5TCQ9', 'P07550')"
"('Q86YB8', 'P30040')"
"('Q8N3V7', 'P63104')"
"('P29353', 'P03372')"
"('Q08380', 'P17931')"
"('Q15427', 'Q15637')"
"('Q99615', 'Q99759')"
"('Q15788', 'O43150')"
"('Q8N653', 'O00238')"
"('P19438', 'P29350')"
"('P01106', 'Q8N1F7')"
"('P26951', 'P16333')"
"('O15169', 'P35813')"
"('574473', 'Q29983')"
"('Q9Y6Q9', 'P03372')"
"('P17568', 'O43674')"
"('P62993', 'Q5UIP0')"
"('Q09472', 'Q05923')"
"('Q9Y5K6', 'Q8WUM4')"
"('Q12933', 'Q13077')"
"('P42574', 'P02771')"
"('O60508', 'Q08170')"
"('P48443', 'Q06710')"
"('Q86UW9', 'Q9NRR5')"
"('P62070', 'Q9HAU4')"
"('P24530', 'P08754')"
"('Q13485', 'Q8WUH2')"
"('P61513', 'P62913')"
"('Q9NYQ7', 'P00519')"
"('Q9UEU0', 'Q07912')"
"('P50402', 'Q13813')"
"('O94868', 'P55822')"
"('Q15139', 'P05107')"
"('Q86YW9', 'Q96HR3')"
"('P05113', 'P31785')"
"('O75817', 'Q9BUL9')"
"('Q7Z6M2', 'P62877')"
"('Q15714', 'Q8N1F7')"
"('Q96CB9', 'Q01844')"
"('P08567', 'P51659')"
"('P62136', 'P60660')"
"('O43295', 'Q92730')"
"('P04278', 'Q96G75')"
"('Q15788', 'Q14994')"
"('Q99558', 'P04350')"
"('Q99612', 'O60861')"
"('P54727', 'Q9P286')"
"('O75448', 'Q71F56')"
"('Q9C0K7', 'Q9Y478')"
"('Q13243', 'P26368')"
"('Q9UL42', 'P01857')"
"('Q9NRJ3', 'P51677')"
"('Q99873', 'P98177')"
"('407025', 'Q9Y6K1')"
"('P17612', 'Q06432')"
"('Q9P0L2', 'P10636')"
"('Q99877', 'O15379')"
"('Q9H2F5', 'P14373')"
"('P19429', 'P45379')"
"('P49238', 'P52333')"
"('O60739', 'P35244')"
"('Q9Y297', 'P16471')"
"('P37173', 'Q9Y3F4')"
"('P01584', 'Q08945')"
"('Q02156', 'P28482')"
"('P03956', 'P09237')"
"('P45973', 'P51532')"
"('O95084', 'Q9Y296')"
"('Q13522', 'O14965')"
"('Q96S96', 'P04049')"
"('P58107', 'P60520')"
"('O60508', 'Q01130')"
"('P21333', 'P00973')"
"('P35544', 'P62244')"
"('P25054', 'O75943')"
"('O75461', 'Q15054')"
"('Q53TS8', 'Q8IYF3')"
"('Q07817', 'P55957')"
"('P38936', 'O00311')"
"('O75608', 'Q14164')"
"('O15350', 'Q96J02')"
"('Q09161', 'P52298')"
"('Q07325', 'Q99873')"
"('P04183', 'P19883')"
"('P28749', '28934')"
"('406984', 'Q9UPY6')"
"('Q9Y239', 'O43353')"
"('P63098', 'Q9NYG5')"
"('Q96CS2', 'Q13415')"
"('O15162', 'P28070')"
"('P30411', 'P50148')"
"('O15534', 'P78368')"
"('Q14789', 'P12757')"
"('Q9Y2Z0', 'P14625')"
"('Q16288', 'P62993')"
"('P19447', 'Q15545')"
"('Q9GZP0', 'P08581')"
"('P33240', 'Q16630')"
"('P63104', 'P15311')"
"('O00422', 'Q9UMX1')"
"('Q96AC6', 'Q15750')"
"('Q13310', 'Q9Y6K5')"
"('Q9NX58', 'Q9UKY1')"
"('Q14573', 'Q9NSC5')"
"('Q5VST9', 'P16157')"
"('Q13315', 'Q9NVC6')"
"('P49810', 'O00548')"
"('P23258', 'P53350')"
"('Q15759', 'P31751')"
"('P27540', 'P09958')"
"('Q9H9T3', 'Q9Y5B9')"
"('Q9NRI5', 'Q9BZJ0')"
"('Q13794', 'Q16548')"
"('P05386', 'P51681')"
"('O15533', 'P13747')"
"('Q8TAU3', 'Q9BUH8')"
"('P62993', 'P48357')"
"('Q15262', 'P49023')"
"('Q13237', 'Q96BA8')"
"('P51948', 'P13631')"
"('O60493', 'Q9H1Y0')"
"('Q9P2I0', 'Q92797')"
"('P62993', 'Q9UM54')"
"('Q9UET6', 'P29692')"
"('P00519', 'Q8WX92')"
"('P63215', 'Q01668')"
"('Q96JP2', 'P14136')"
"('Q9UN42', 'P32418')"
"('Q9C0C7', 'Q9BW61')"
"('Q9NWQ8', 'Q9UER7')"
"('Q9NRR5', 'Q99932')"
"('P20333', 'P04406')"
"('P18124', 'P62993')"
"('Q7LFL8', 'P84022')"
"('Q99731', 'P25024')"
"('P68366', 'O43237')"
"('Q9NYQ7', 'Q14669')"
"('P22612', 'P53779')"
"('P98095', 'P62910')"
"('Q9Y383', 'Q96EY7')"
"('Q9BZ29', 'O00212')"
"('Q15628', 'P07437')"
"('O75367', 'Q8IYW5')"
"('P49207', 'P62913')"
"('Q8N7H5', 'Q6PD62')"
"('Q13315', 'P42696')"
"('P17844', 'Q92597')"
"('Q9H2U1', 'P49841')"
"('Q9Y3E7', 'P52735')"
"('P35354', 'Q99460')"
"('P62191', 'Q15008')"
"('Q92922', 'Q01196')"
"('Q9Y644', 'Q9UM47')"
"('O43156', 'P42345')"
"('Q8IVG9', 'Q16611')"
"('P05106', 'O75578')"
"('Q8WZA2', 'Q9ULF5')"
"('P51693', 'P38936')"
"('O14640', 'Q9UJX6')"
"('P0C0S8', 'P23527')"
"('P62854', 'P46781')"
"('O14965', 'Q9NWT8')"
"('Q9NX70', 'Q9NVC6')"
"('Q16778', 'Q92769')"
"('P05113', 'P16871')"
"('P38936', 'P08670')"
"('P19320', 'P13498')"
"('Q6NZ67', 'Q14164')"
"('Q7Z4P5', 'P36894')"
"('P98095', 'P07900')"
"('P16188', 'Q8NHL6')"
"('O60925', 'P59666')"
"('P30939', 'O14610')"
"('Q9UKT7', 'Q49AN0')"
"('P55157', 'O43281')"
"('P08069', 'Q05397')"
"('Q9HB21', 'O75970')"
"('Q9BPZ7', 'Q16539')"
"('Q07869', 'P07900')"
"('Q92979', 'P17844')"
"('P23945', 'P49407')"
"('Q9NQC3', 'Q8WWV3')"
"('Q9NZM3', 'Q8IVH8')"
"('O75674', 'Q92879')"
"('P42224', 'P17948')"
"('O15264', 'Q92804')"
"('406911', 'P04637')"
"('Q16539', 'P99999')"
"('P62140', 'P60660')"
"('P21728', 'P63092')"
"('P68431', 'Q9H160')"
"('Q9Y675', 'P08579')"
"('Q8IX01', 'P54253')"
"('O95167', 'Q9Y6M9')"
"('Q04206', 'P10275')"
"('Q03014', 'P52945')"
"('P17050', 'O43809')"
"('Q8NE01', 'Q93062')"
"('P50402', 'Q9NYF8')"
"('P12814', 'P68032')"
"('Q9UI47', 'Q04917')"
"('Q5T3J3', 'P04083')"
"('P01584', 'P07911')"
"('P54756', 'P20936')"
"('Q9NZM4', 'P16333')"
"('P11215', 'P36941')"
"('Q9NYJ7', 'Q9UM47')"
"('P31153', 'Q9Y4K3')"
