negatives
"('Q3B7T1', 'Q9H840')"
"('Q06830', 'Q13162')"
"('Q9Y3C7', 'P30519')"
"('Q9NPF4', 'P07359')"
"('P33993', 'P55201')"
"('407028', 'P24385')"
"('Q9BUL9', 'Q969H6')"
"('Q9UBS0', 'P35568')"
"('O60296', 'Q8N1C3')"
"('Q9H173', 'Q9UET6')"
"('O95409', 'P02649')"
"('Q07864', 'P49842')"
"('Q13509', 'Q13084')"
"('Q9P2H0', 'Q13155')"
"('P08138', 'P46109')"
"('Q15257', 'P01106')"
"('A4D0S4', 'P26012')"
"('O15287', 'P08727')"
"('P29373', 'P30281')"
"('Q13625', 'Q14457')"
"('Q7Z5R6', 'Q9Y4G6')"
"('Q9H201', 'P35968')"
"('Q15617', 'P38405')"
"('P20823', 'O00482')"
"('Q9Y2T4', 'P31749')"
"('P42704', 'Q9UBN6')"
"('Q9UPW5', 'O75335')"
"('P60568', 'Q9HC73')"
"('P18084', 'P12814')"
"('Q5JWF2', 'Q3MJ16')"
"('Q9UNS2', 'Q13616')"
"('Q13485', 'Q96RT1')"
"('P10275', 'P49023')"
"('Q8IYB3', 'Q8IX12')"
"('Q6UXL0', 'P23458')"
"('Q8WW38', 'Q9NRR5')"
"('Q8TBB1', 'Q2M3C7')"
"('347745', 'P36542')"
"('Q9NSA1', 'Q02763')"
"('Q05397', 'Q16539')"
"('Q9NZN8', 'P18146')"
"('P14780', 'P10145')"
"('P62993', 'Q9UJT2')"
"('O95865', 'P61224')"
"('P02766', 'Q9UKR5')"
"('P21246', 'Q9Y383')"
"('P01243', 'P67870')"
"('P17612', 'Q7Z3S7')"
"('Q96BK5', 'P15311')"
"('Q13309', 'P62877')"
"('P78369', 'Q96AP7')"
"('P63104', 'Q9H307')"
"('Q06546', 'P18146')"
"('O75444', 'Q9Y5Q3')"
"('P61077', 'Q86UW7')"
"('Q01628', 'P52630')"
"('P25786', 'Q13137')"
"('P18084', 'P30101')"
"('P21673', 'P56182')"
"('P10809', 'P13569')"
"('P13612', 'P18084')"
"('Q13064', 'P62837')"
"('P40424', 'P55072')"
"('P37268', 'Q9BTV4')"
"('Q6UY14', 'Q6UY11')"
"('Q9Y4A5', 'O95619')"
"('Q99616', 'P32246')"
