negatives
"('Q9HCK5', 'Q04837')"
"('Q01844', 'Q9H467')"
"('P22090', 'P23396')"
"('Q9Y6K8', 'Q9Y508')"
"('Q99684', 'O15397')"
"('Q9HAU5', 'Q04637')"
"('P61073', 'Q15853')"
"('Q9BWF2', 'P06241')"
"('P63244', 'P12931')"
"('Q9HC98', 'Q93008')"
"('P19387', 'P32780')"
"('Q9NZN5', 'P63000')"
"('Q9Y5V3', 'O60477')"
"('P16471', 'P51956')"
"('P18075', 'O00238')"
"('O43303', 'P41208')"
"('Q9UMX1', 'Q9NRP7')"
"('P78559', 'Q8TDR0')"
"('P84103', 'P51991')"
"('P84101', 'Q12873')"
"('Q04771', 'Q9UF11')"
"('Q86U86', 'Q969G3')"
"('Q9NR30', 'Q5JTH9')"
"('P15056', 'Q15349')"
"('Q99459', 'P07437')"
"('Q13315', 'Q9H5H4')"
"('Q16627', 'O00574')"
"('P04406', 'P49913')"
"('Q9H6Y2', 'Q9P2G9')"
"('P08047', 'Q8N4M1')"
"('P31749', 'Q00987')"
"('P62854', 'P46781')"
"('P62979', 'Q00005')"
"('P13725', 'P15509')"
"('Q14BN4', 'Q9Y3A3')"
"('P56945', 'P00533')"
"('Q96EP5', 'Q9H361')"
"('P29350', 'P17844')"
"('P32238', 'Q96SB3')"
"('Q9NYH9', 'Q15834')"
"('Q9Y6K9', 'P62158')"
"('P12004', 'Q9HAW4')"
"('P22612', 'P20941')"
"('Q01094', 'Q13489')"
"('P56524', 'P38936')"
"('P60228', 'Q9Y478')"
"('Q9ULW2', 'P50148')"
"('Q9Y3C5', 'Q9UHD9')"
"('P49716', 'Q6W2J9')"
"('P15311', 'P01889')"
"('P08123', 'P26010')"
"('Q9Y6K9', 'P01860')"
"('P30279', 'Q00534')"
"('P55735', 'O95486')"
"('Q16649', 'P18146')"
"('Q9UHD2', 'O60641')"
"('Q9NRR5', 'O43497')"
"('O60437', 'P12757')"
"('Q15365', 'P57052')"
"('O43663', 'Q53HL2')"
"('P09884', 'P49642')"
"('O75822', 'Q99613')"
"('P37231', 'Q9Y618')"
"('Q7Z408', 'P46108')"
"('Q7Z7G1', 'P04626')"
"('Q7Z5H3', 'P60763')"
"('P05198', 'Q14152')"
"('P04350', 'Q9NYJ8')"
"('P12270', 'P49792')"
"('P01308', 'Q15418')"
"('O14908', 'Q9GZR1')"
"('Q8NHZ7', 'O95983')"
"('Q04726', 'Q92597')"
"('Q15428', 'Q12906')"
"('P82979', 'Q13838')"
"('Q13432', 'Q8WUB8')"
"('Q9H492', 'Q9GZQ8')"
"('P01106', 'Q9NQB0')"
"('P11171', 'Q5ST30')"
"('P53779', 'Q04206')"
"('P30086', 'P04049')"
"('P31151', 'P13569')"
"('P32121', 'Q9Y4A9')"
"('Q9BYQ3', 'Q9NYV4')"
"('406907', 'P51159')"
"('P21675', 'Q5VTD9')"
"('P61024', 'P24941')"
"('Q13153', 'P36897')"
"('Q9UHV2', 'P62745')"
"('P62424', 'P35268')"
"('Q9NYQ7', 'O75153')"
"('Q8N2Z9', 'Q8NB91')"
"('Q8NE71', 'Q9NX58')"
"('Q9NXR8', 'O96019')"
"('P62993', 'Q9BR76')"
"('P35626', 'A6NDL8')"
"('P05113', 'Q9UHF4')"
"('Q8NHB1', 'P38405')"
"('P02794', 'Q9H0E2')"
"('O60244', 'Q9NVC6')"
"('Q9H079', 'O43570')"
"('P01106', 'Q13200')"
"('Q99459', 'Q14687')"
"('Q9BYG4', 'Q96L34')"
"('Q8WV44', 'Q96BR9')"
"('P62249', 'P62263')"
"('Q15714', 'Q8TDY2')"
"('P35226', 'Q9ULT8')"
"('O15514', 'P30876')"
"('P48729', 'O75689')"
"('P51148', 'Q15276')"
"('Q9UM73', 'Q9Y4K3')"
"('Q9Y328', 'P63272')"
"('Q49A88', 'Q96MT8')"
"('P51114', 'P35228')"
"('Q01469', 'Q8IY92')"
"('P05412', 'Q16663')"
"('Q13616', 'O15055')"
"('Q12873', 'O14503')"
"('P20248', 'Q8WXE1')"
"('P01106', 'O00746')"
"('O00308', 'Q15796')"
"('A5PKW4', 'O60234')"
"('Q13625', 'Q9H3D4')"
"('A6NCV1', 'P38405')"
"('Q92793', 'Q14686')"
"('P07585', 'Q05707')"
"('Q13315', 'Q9BQE6')"
"('P05997', 'P05106')"
"('Q9UKV8', 'P18621')"
"('P63261', 'Q9NYJ8')"
"('P11021', 'O94868')"
"('Q9HC98', 'Q9HAU4')"
"('P62910', 'P18621')"
"('Q8NGI0', 'P38405')"
"('P15311', 'Q9Y478')"
"('Q16795', 'P03891')"
"('P26583', 'O60739')"
"('P05015', 'Q08334')"
"('O00220', 'Q14790')"
"('P62995', 'Q08170')"
"('O75553', 'P98164')"
"('O00453', 'Q7L622')"
"('P27540', 'P10275')"
"('P48551', 'Q13651')"
"('Q12913', 'Q92841')"
"('P55769', 'P42773')"
"('Q13239', 'P43405')"
"('Q13123', 'P35080')"
"('P29350', 'Q13094')"
"('P52747', 'P14859')"
"('Q14934', 'Q06413')"
"('Q9UPU3', 'P01138')"
"('Q16254', 'Q15054')"
"('Q15038', 'Q04724')"
"('9757', 'Q9C005')"
"('Q96AG4', 'Q9UET6')"
"('O43929', 'O43913')"
"('P10242', 'Q13526')"
"('P49716', 'P11511')"
"('P01876', 'Q8WWK9')"
"('P11473', 'P49913')"
"('Q9H832', 'Q8N448')"
"('Q9BQS8', 'P33176')"
"('P01133', 'P36542')"
"('Q14103', 'P60709')"
"('P62330', 'P04179')"
"('P02776', 'P41597')"
"('P61224', 'P52564')"
"('P12236', 'O15162')"
"('Q9H175', 'P62136')"
"('Q9H6Q3', 'P22681')"
"('O60232', 'Q9Y262')"
"('Q14974', 'P62258')"
"('P49840', 'Q9NP79')"
"('Q9Y262', 'P60228')"
"('Q00653', 'P31689')"
"('Q96GD4', 'Q9NR09')"
"('P17036', 'Q14192')"
"('Q9NYW1', 'A8MTJ3')"
"('Q8N2W9', 'P04637')"
