negatives
"('Q9HD36', 'Q07812')"
"('Q9UQM7', 'P62158')"
"('P23396', 'P62280')"
"('P19838', 'P98170')"
"('Q9Y561', 'O95405')"
"('Q9Y2S0', 'Q15572')"
"('Q07325', 'O75925')"
"('P62993', 'Q9Y5Y3')"
"('Q15311', 'P19438')"
"('P60953', 'Q9Y5S2')"
"('Q02297', 'P04626')"
"('P43686', 'P19438')"
"('Q9UNA1', 'O00212')"
"('P35637', 'Q07955')"
"('Q8WUM0', 'P21675')"
"('Q13546', 'Q12933')"
"('Q13315', 'Q9C0C2')"
"('P60520', 'Q92945')"
"('Q8WUD1', 'Q15797')"
"('P18146', 'P60002')"
"('Q9NRI5', 'Q14515')"
"('P30480', 'P46060')"
"('Q9BVC4', 'Q92574')"
"('P04179', 'P00441')"
"('P63211', 'P51828')"
"('Q6ZN04', 'P61077')"
"('Q15119', 'P10515')"
"('P35637', 'P56537')"
"('Q8IUE6', 'P06899')"
"('Q04206', 'Q9UN86')"
"('O95402', 'Q71SY5')"
"('Q92765', 'Q14181')"
"('Q9Y5Z7', 'Q9C005')"
"('Q13009', 'P15153')"
"('Q13976', 'Q16558')"
"('P14923', 'Q9NQB0')"
"('P11912', 'Q8WV28')"
"('Q13573', 'Q96A65')"
"('P23469', 'P29353')"
"('Q01094', 'P16118')"
"('O76081', 'P00519')"
"('P03886', 'O95182')"
"('P53420', 'P53708')"
"('P22612', 'Q9NPA1')"
"('P46782', 'P23396')"
"('Q9HBY0', 'P53778')"
"('P09619', 'Q9Y2R2')"
"('O00273', 'Q96NT1')"
"('P23508', 'Q15185')"
"('P60709', 'P10809')"
"('P08172', 'O95837')"
"('Q9UHB7', 'A0JLT2')"
"('Q9UBD9', 'Q9UHF4')"
"('Q8N257', 'P0C5Y9')"
"('P20265', 'P01148')"
"('Q9H3D4', 'Q99729')"
"('P23443', 'P55884')"
"('O96013', 'P45985')"
"('O00429', 'P10809')"
"('Q96KM6', 'P35580')"
"('Q96MF7', 'P54274')"
"('Q13155', 'O60739')"
"('P05198', 'P18848')"
"('P01579', 'Q99650')"
"('P09651', 'Q9Y3C6')"
"('Q9Y3U8', 'P63173')"
"('P48723', 'P43307')"
"('Q92499', 'P35222')"
"('P33552', 'Q9Y3Q8')"
"('Q9BUH8', 'Q9H4K1')"
"('P35030', 'P02768')"
"('Q96KM6', 'P55268')"
"('Q6UXH1', 'P67870')"
"('P08195', 'Q99623')"
"('O14641', 'Q9HCE7')"
"('Q04206', 'P98170')"
"('P61956', 'Q7Z3J3')"
"('P61254', 'P40429')"
"('P08670', 'Q16512')"
"('Q96FA3', 'Q13546')"
"('Q12834', 'O76009')"
"('P01106', 'P13798')"
"('P35556', 'O00339')"
"('P26368', 'O95400')"
"('Q8N302', 'P09234')"
"('P61371', 'Q8TE12')"
"('P50453', 'P08311')"
"('P05556', 'Q15027')"
"('O15530', 'P01857')"
"('P04233', 'P20036')"
"('P52565', 'P14923')"
"('P30408', 'P31689')"
"('P53675', 'O95782')"
"('P05556', 'O43707')"
"('P62993', 'P01019')"
"('P41091', 'O15372')"
"('Q9Y2M0', 'P40692')"
"('Q5T3J3', 'P05386')"
"('Q99750', 'Q9NQX5')"
"('P09382', 'P05556')"
"('Q86UW7', 'P51965')"
"('Q92985', 'P01567')"
"('P29590', 'Q13155')"
"('Q9BUQ8', 'Q9Y333')"
"('Q16778', 'P04908')"
"('P15882', 'P61586')"
"('Q9HBG4', 'P78536')"
"('Q8IZC6', 'Q13683')"
"('P62273', 'P62851')"
"('P29372', 'Q9Y3B8')"
"('Q9NY93', 'P47914')"
"('P39019', 'P22090')"
"('Q8N6F1', 'P56750')"
"('Q92956', 'P14866')"
"('Q5UIP0', 'P51948')"
"('P36873', 'P19105')"
"('Q16594', 'P38432')"
"('P05387', 'P18124')"
"('P30480', 'P14174')"
"('P41235', 'O75478')"
"('P30480', 'Q15019')"
"('P98095', 'P15502')"
"('Q9NR46', 'P17948')"
"('O43390', 'P62993')"
"('Q13087', 'Q9UET6')"
"('Q16625', 'O95500')"
"('P49207', 'Q9NY93')"
"('O75376', 'Q06330')"
"('P25205', 'Q8WYB5')"
"('P16333', 'Q15427')"
"('P10074', 'Q96L11')"
"('P60763', 'Q9UHY1')"
"('P11234', 'O14939')"
"('Q8TAM1', 'P49674')"
"('Q08380', 'Q04206')"
"('P47736', 'Q9GZQ8')"
"('O14737', 'Q9BVJ6')"
"('P61758', 'Q92569')"
"('P46092', 'P04899')"
"('Q53EL9', 'Q8NE62')"
"('O14818', 'P01889')"
"('Q13191', 'P31785')"
"('O14964', 'Q16539')"
"('P08311', 'Q16663')"
"('Q969V5', 'P0CG48')"
"('P04637', 'Q75NE6')"
"('Q99442', 'Q00403')"
"('P30872', 'Q13424')"
"('P46379', 'O15145')"
"('Q8IWL2', 'O60603')"
"('P26006', 'P13612')"
"('Q7L8J4', 'P31946')"
"('Q9NV70', 'O75962')"
"('Q15428', 'P61978')"
"('Q9NYY8', 'Q14197')"
"('Q9P0U4', 'Q03164')"
"('P41235', 'P02766')"
"('P02751', 'P17931')"
"('Q99706', 'P30273')"
"('P98164', 'P01266')"
"('P05783', 'P09913')"
"('P40337', 'P12268')"
"('P01106', 'Q01973')"
"('P35222', 'Q05209')"
"('P06493', 'Q5MJ70')"
"('P50616', 'Q96GD3')"
"('Q16539', 'P04637')"
"('P22612', 'P17302')"
"('Q96HA7', 'Q14566')"
"('P20807', 'Q9H1Y0')"
"('P10914', 'P28907')"
"('Q15906', 'Q13315')"
"('P26927', 'P06899')"
"('Q16659', 'Q12860')"
"('Q15759', 'P01100')"
"('Q99962', 'Q13443')"
"('O14717', 'Q9GZR7')"
"('P16035', 'Q14697')"
"('P62877', 'P15923')"
"('P18077', 'Q15843')"
"('P51817', 'Q14573')"
"('P15056', 'Q15759')"
"('Q9UQ80', 'P19338')"
"('P17612', 'Q02930')"
"('P58012', 'P18847')"
"('P98095', 'Q05084')"
"('P55854', 'Q9H2Y7')"
"('P42338', 'P16885')"
"('P62750', 'P62633')"
"('Q14194', 'P25445')"
"('O43432', 'A6NMX2')"
"('P20248', 'Q9NYG5')"
"('P09919', 'P01589')"
"('P22736', 'Q92831')"
"('P37802', 'Q14164')"
"('O60941', 'Q8ND30')"
"('Q15170', 'O95757')"
"('Q04206', 'P08107')"
"('Q9Y6D9', 'P38432')"
"('P17900', 'P06865')"
"('Q06124', 'P78324')"
"('Q15486', 'P22607')"
"('Q92769', 'O95983')"
"('Q01844', 'Q8WWF6')"
"('P01100', 'P13631')"
"('P41091', 'O15371')"
"('Q96B26', 'Q9HAU5')"
"('P0CG47', 'P52735')"
"('Q16531', 'Q9Y4B6')"
"('Q15303', 'Q16611')"
"('Q8N163', 'Q9BUV8')"
"('Q58WW2', 'Q969Q1')"
