negatives
"('P42345', 'Q07817')"
"('Q04206', 'O00165')"
"('Q8N5F7', 'O43143')"
"('Q15013', 'P68104')"
"('O43374', 'Q96RY5')"
"('O75438', 'O75251')"
"('Q16288', 'P19174')"
"('Q05655', 'Q3MJ16')"
"('Q96CW5', 'Q16891')"
"('Q9BWD1', 'Q9Y478')"
"('O95295', 'Q5JY77')"
"('P08572', 'Q96IP4')"
"('P24821', 'P05106')"
"('P12318', 'A2IXV5')"
"('P45379', 'P09493')"
"('P52565', 'Q11206')"
"('P16220', 'P63279')"
"('O60262', 'O43306')"
"('P04637', 'Q9NRM7')"
"('Q9NVD7', 'Q13797')"
"('P67775', 'P17987')"
"('Q99623', 'Q01844')"
"('P27361', 'P53004')"
"('P51692', 'P40763')"
"('P04049', 'P28482')"
"('O43639', 'Q7L0Q8')"
"('Q14197', 'Q6IN84')"
"('407018', 'P28676')"
"('O43617', 'Q9NPJ6')"
"('O15524', 'P58753')"
"('Q96A65', 'P01106')"
"('O60296', 'P34903')"
"('P0CG48', 'P62837')"
"('P41279', 'Q04864')"
"('O00422', 'Q9HCU9')"
"('Q10570', 'Q13573')"
"('P49682', 'O60674')"
"('Q9UK61', 'O75674')"
"('P24941', 'Q96JH8')"
"('P31943', 'Q00839')"
"('Q99759', 'O43795')"
"('O15260', 'Q9H1C4')"
"('Q09028', 'P51610')"
"('O14827', 'P01111')"
"('Q9C0C7', 'Q9BW61')"
"('P17612', 'Q13224')"
"('Q6P2C8', 'Q15528')"
"('Q9Y2X7', 'O75334')"
"('Q9UKV3', 'Q53HC5')"
"('Q9Y2D5', 'P46108')"
"('P22681', 'P43405')"
"('O00591', 'O60296')"
"('Q09013', 'P20073')"
"('P49716', 'Q9BSD3')"
"('Q9Y4K3', 'P07741')"
"('Q15714', 'Q9Y5P6')"
"('P23508', 'P52907')"
"('O75554', 'O14776')"
"('P32248', 'P04899')"
"('Q9HC36', 'O94817')"
"('Q9BV68', 'Q9Y4K3')"
"('Q00403', 'Q08050')"
"('P25786', 'P25788')"
"('Q8ND30', 'Q99816')"
"('O94916', 'P24462')"
"('P62910', 'P49207')"
"('Q99426', 'P48643')"
"('Q9HAV0', 'P84996')"
"('P08572', 'P98095')"
"('Q9H6X2', 'O75581')"
"('P21860', 'Q9ULJ1')"
"('P16220', 'Q9UHG2')"
"('O14625', 'P51685')"
"('P30101', 'O14672')"
"('Q96GM5', 'P51532')"
"('P04004', 'P06756')"
"('O14497', 'O94805')"
"('Q9Y6K9', 'P50213')"
"('P16401', 'P83916')"
"('Q9UHD0', 'Q969J5')"
"('Q8IYX8', 'Q9NRI5')"
"('P62993', 'Q92922')"
"('P08107', 'Q13546')"
"('Q8IYD1', 'P62495')"
"('A8MVU1', 'Q9BUZ4')"
"('P27361', 'Q53H76')"
"('Q14691', 'Q7L590')"
"('P04141', 'Q969J5')"
"('P62316', 'P05787')"
"('Q9NWT1', 'Q13153')"
"('Q9H0U4', 'Q8N2Y8')"
"('Q86YC2', 'P51587')"
"('P05546', 'P00734')"
"('Q6IBS0', 'O43315')"
"('P00846', 'P03928')"
"('Q9H0W8', 'Q96Q15')"
"('Q00535', 'Q15078')"
"('Q15653', 'O15160')"
"('P49790', 'Q8N1F7')"
"('P15924', 'P13647')"
"('O14512', 'P16333')"
"('Q9Y6K9', 'Q86UT6')"
"('P55345', 'P48634')"
"('O95630', 'Q92783')"
"('Q9BX70', 'Q04724')"
"('Q9NZM3', 'Q07889')"
"('A9UHW6', 'O14964')"
"('P31947', 'P26651')"
"('P01133', 'P27986')"
"('P09471', 'P49802')"
"('P12004', 'P13051')"
"('Q13242', 'P07910')"
"('P10809', 'P08107')"
"('P61970', 'P46527')"
"('Q14164', 'P07355')"
"('P31946', 'Q9Y2J2')"
"('P15407', 'P03956')"
"('Q9BQY4', 'Q8N2M8')"
"('Q9Y266', 'Q9UBN6')"
"('Q9UPV9', 'P12757')"
"('P23526', 'P23508')"
"('P34947', 'P32302')"
"('P29350', 'Q96LC7')"
"('P04234', 'Q8WYR1')"
"('Q16625', 'O75385')"
"('P10767', 'P11362')"
"('Q99497', 'P37840')"
"('P04406', 'Q6DN03')"
"('Q9UIA9', 'Q13418')"
"('Q14192', 'Q9NYA1')"
"('Q9GZP1', 'Q8NBJ4')"
"('O14879', 'P09913')"
"('Q13573', 'O96019')"
"('Q9C0K0', 'O15379')"
"('P62854', 'O60739')"
"('P01106', 'Q96T76')"
"('Q16629', 'Q01130')"
"('Q7L576', 'P55160')"
"('Q99877', 'Q71UI9')"
"('Q9Y4L1', 'O00141')"
"('Q13315', 'Q8WZ42')"
"('P41219', 'P19012')"
"('Q9NQU5', 'P10275')"
"('P28749', 'Q16254')"
"('O96006', 'P63279')"
"('Q8N2W9', 'Q13315')"
"('Q92905', 'Q13257')"
"('Q9BQD3', 'P24278')"
"('P55769', 'Q9Y333')"
"('Q9H9S0', 'P40763')"
"('Q9Y4K3', 'O60641')"
"('Q9Y243', 'P38936')"
"('P21580', 'Q8IUC6')"
"('Q99828', 'Q12933')"
"('P51991', 'O75937')"
"('Q9Y4K3', 'P52907')"
"('P12956', 'Q00653')"
"('P21673', 'Q9NVL1')"
"('P07942', 'Q96RT1')"
"('P51149', 'Q9UI14')"
"('Q96BI3', 'Q99466')"
"('P23508', 'P43897')"
"('Q9H0A0', 'P11387')"
"('Q92783', 'Q13625')"
"('P50502', 'Q14164')"
"('Q9H3G5', 'Q9NSA3')"
"('P61088', 'Q13573')"
"('P09693', 'P04435')"
"('P41235', 'P38484')"
"('P54219', 'P18146')"
"('P27348', 'Q86W92')"
"('P55210', 'P08670')"
"('P06400', 'P29590')"
"('O96000', 'Q86Y39')"
"('Q93074', 'O60244')"
"('Q13535', 'P53350')"
"('P35626', 'Q8N628')"
"('Q01094', 'P20226')"
"('P17931', 'P02786')"
"('Q9Y5J5', 'Q8WUM4')"
"('Q9Y4G2', 'P55957')"
"('P20073', 'P25054')"
"('Q96KB5', 'Q12959')"
"('P43250', 'P51684')"
"('P10144', 'P04275')"
"('P07948', 'P30419')"
"('O75475', 'P04792')"
"('P18077', 'O00442')"
"('Q96A72', 'Q9BZI7')"
