negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'TSH', 'P00533', 'Q4KWH8'})"
"frozenset({'TSH', 'O00767', 'Q99942'})"
"frozenset({'Q92870', 'Q9NZ56', 'TSH'})"
"frozenset({'P10412', 'P00533', 'TSH'})"
"frozenset({'Q9H1Y0', 'TSH', 'Q8WUD4'})"
"frozenset({'TSH', 'P11362', 'Q8IVI9'})"
"frozenset({'TSH', 'Q96KN1', 'P12830'})"
"frozenset({'P26012', 'TSH', 'P17301'})"
"frozenset({'P27816', 'P05198', 'TSH'})"
"frozenset({'TSH', 'O75683', 'P50914'})"
"frozenset({'TSH', 'P30450', 'Q03518'})"
"frozenset({'TSH', 'Q9NU22', 'Q5S007'})"
"frozenset({'O75643', 'Q49AN0', 'TSH'})"
"frozenset({'TSH', 'P54920', 'Q6IQ23'})"
"frozenset({'TSH', 'Q96H79', 'Q13315'})"
"frozenset({'TSH', 'P54727', 'Q16665'})"
"frozenset({'Q7Z353', 'TSH', 'Q9H9S0'})"
"frozenset({'TSH', 'P30153', 'Q9Y4B5'})"
"frozenset({'TSH', 'P42229', 'Q15788'})"
"frozenset({'P10144', 'TSH', 'P05455'})"
"frozenset({'TSH', 'Q9UKX3', 'P31751'})"
"frozenset({'TSH', 'Q6I9Y2', 'Q15528'})"
"frozenset({'TSH', 'Q92572', 'P08571'})"
"frozenset({'TSH', 'Q15532', 'Q9H8M2'})"
"frozenset({'TSH', 'Q15629', 'P01892'})"
"frozenset({'TSH', 'P24522', 'Q8TAQ2'})"
"frozenset({'TSH', 'Q7L4I2', 'Q8ND90'})"
"frozenset({'TSH', 'Q9UBQ5', 'P10451'})"
"frozenset({'Q96HR8', 'TSH', 'Q6PI26'})"
"frozenset({'TSH', 'Q96RT1', 'P62136'})"
"frozenset({'TSH', 'Q8WXX5', 'Q13630'})"
"frozenset({'TSH', 'Q8IYD9', 'Q15717'})"
"frozenset({'P06865', 'TSH', 'P06241'})"
"frozenset({'Q13435', 'TSH', 'O95758'})"
"frozenset({'TSH', 'P40818', 'P42566'})"
"frozenset({'TSH', 'Q86YR5', 'Q5M9N0'})"
"frozenset({'Q7Z5J4', 'TSH', 'Q6K0P9'})"
"frozenset({'P24941', 'TSH', 'P27361'})"
"frozenset({'TSH', 'Q08050', 'O75152'})"
"frozenset({'O75489', 'TSH', 'Q86SX6'})"
"frozenset({'TSH', 'Q15365', 'P98179'})"
"frozenset({'Q15637', 'TSH', 'O00469'})"
"frozenset({'TSH', 'P07196', 'Q16539'})"
"frozenset({'TSH', 'Q96QD9', 'Q7L9B9'})"
"frozenset({'O95872', 'TSH', 'Q52MB2'})"
"frozenset({'Q13009', 'TSH', 'P62834'})"
"frozenset({'TSH', 'Q15654', 'Q8TF68'})"
"frozenset({'P50148', 'TSH', 'Q9BX93'})"
"frozenset({'TSH', 'P15927', 'O43929'})"
"frozenset({'TSH', 'P07766', 'P04234'})"
"frozenset({'Q9BYQ0', 'TSH', 'P49901'})"
"frozenset({'Q96SB3', 'Q13009', 'TSH'})"
"frozenset({'TSH', 'Q01105', 'Q16695'})"
"frozenset({'TSH', 'P16070', 'P13612'})"
"frozenset({'TSH', 'P63092', 'Q9Y2L1'})"
"frozenset({'Q8NH40', 'TSH', 'P49407'})"
"frozenset({'TSH', 'Q16740', 'Q96E11'})"
"frozenset({'TSH', 'P49368', 'P00338'})"
"frozenset({'TSH', 'Q6NUN9', 'P55786'})"
"frozenset({'TSH', 'Q16576', 'Q92833'})"
"frozenset({'TSH', 'P27986', 'Q96B97'})"
"frozenset({'O00186', 'TSH', 'P39023'})"
"frozenset({'TSH', 'P56192', 'Q9P2K8'})"
"frozenset({'P49023', 'P60981', 'TSH'})"
"frozenset({'TSH', 'Q86V81', 'Q13838'})"
"frozenset({'TSH', 'O60493', 'O14964'})"
"frozenset({'TSH', 'P15153', 'P60953'})"
"frozenset({'P08962', 'TSH', 'P18827'})"
"frozenset({'Q9UHG0', 'TSH', 'Q9BYQ3'})"
"frozenset({'O75031', 'TSH', 'Q86YD7'})"
"frozenset({'P24941', 'TSH', 'P47756'})"
"frozenset({'P13646', 'TSH', 'Q9UBS0'})"
"frozenset({'TSH', 'Q7L5N1', 'P11802'})"
"frozenset({'Q9NQW6', 'TSH', 'P09493'})"
"frozenset({'TSH', 'O43347', 'Q96DU9'})"
"frozenset({'P23297', 'TSH', 'O95817'})"
"frozenset({'Q9H492', 'TSH', 'P62937'})"
"frozenset({'TSH', 'Q9NRX1', 'P06400'})"
"frozenset({'TSH', 'Q5S007', 'P49454'})"
"frozenset({'Q9BV38', 'TSH', 'Q14676'})"
"frozenset({'TSH', 'P35222', 'Q9UKB5'})"
"frozenset({'TSH', 'Q8N6M9', 'Q9NWF9'})"
"frozenset({'Q8NH61', 'TSH', 'P25098'})"
"frozenset({'TSH', 'P06748', 'P27635'})"
"frozenset({'Q9UBL3', 'TSH', 'Q14814'})"
"frozenset({'P0DP24', 'TSH', 'P48507'})"
"frozenset({'TSH', 'P10275', 'P51451'})"
"frozenset({'TSH', 'Q9BU76', 'A6NK89'})"
"frozenset({'TSH', 'Q92620', 'P52272'})"
"frozenset({'P47755', 'TSH', 'Q13829'})"
"frozenset({'TSH', 'P62269', 'P13612'})"
"frozenset({'Q8WWB5', 'TSH', 'Q99750'})"
"frozenset({'Q9P0K8', 'TSH', 'Q9H147'})"
"frozenset({'TSH', 'P42771', 'Q8N668'})"
"frozenset({'O14757', 'TSH', 'P51955'})"
"frozenset({'Q8IYD2', 'TSH', 'Q9Y266'})"
"frozenset({'Q9UBU9', 'TSH', 'P26599'})"
"frozenset({'Q9UBU9', 'TSH', 'O75150'})"
"frozenset({'TSH', 'O15303', 'Q14344'})"
"frozenset({'P06493', 'TSH', 'P04179'})"
"frozenset({'Q99543', 'TSH', 'P26885'})"
"frozenset({'TSH', 'P27694', 'Q15393'})"
