negatives
"frozenset({'Q9ULK4', 'Q8IYB3', 'IL2'})"
"frozenset({'O15259', 'Q9HAD4', 'IL2'})"
"frozenset({'P51572', 'P63027', 'IL2'})"
"frozenset({'P62877', 'P42574', 'IL2'})"
"frozenset({'P27105', 'IL2', 'Q16515'})"
"frozenset({'Q9Y5B9', 'O75475', 'IL2'})"
"frozenset({'O75182', 'Q14188', 'IL2'})"
"frozenset({'Q5TA82', 'IL2', 'Q9BYP8'})"
"frozenset({'P62263', 'P0DP23', 'IL2'})"
"frozenset({'Q969L4', 'P62308', 'IL2'})"
"frozenset({'P12956', 'IL2', 'P14921'})"
"frozenset({'Q14254', 'IL2', 'Q86W54'})"
"frozenset({'Q06609', 'P16104', 'IL2'})"
"frozenset({'P30876', 'Q8WVC0', 'IL2'})"
"frozenset({'IL2', 'Q5T749', 'P62993'})"
"frozenset({'P50222', 'Q6PIV2', 'IL2'})"
"frozenset({'O95453', 'Q9HAU5', 'IL2'})"
"frozenset({'Q15075', 'P04626', 'IL2'})"
"frozenset({'Q9HBH7', 'O75815', 'IL2'})"
"frozenset({'IL2', 'P46939', 'Q92858'})"
"frozenset({'P62987', 'O95630', 'IL2'})"
"frozenset({'P02686', 'P78527', 'IL2'})"
"frozenset({'O15392', 'P07900', 'IL2'})"
"frozenset({'Q9UKV0', 'P23527', 'IL2'})"
"frozenset({'O60308', 'Q1MSJ5', 'IL2'})"
"frozenset({'Q9P1Z0', 'Q96ST3', 'IL2'})"
"frozenset({'Q9Y5X2', 'IL2', 'Q9Y5X1'})"
"frozenset({'P46108', 'Q9ULH0', 'IL2'})"
"frozenset({'Q5QGZ9', 'O75379', 'IL2'})"
"frozenset({'Q14527', 'Q9NS91', 'IL2'})"
"frozenset({'P50150', 'P41586', 'IL2'})"
"frozenset({'Q9H7Z6', 'A8MW92', 'IL2'})"
"frozenset({'Q96KP4', 'Q9NR45', 'IL2'})"
"frozenset({'Q9Y5B8', 'IL2', 'Q6P1L6'})"
"frozenset({'P63244', 'P10275', 'IL2'})"
"frozenset({'Q14D33', 'Q92845', 'IL2'})"
"frozenset({'Q13630', 'P60981', 'IL2'})"
"frozenset({'IL2', 'P19320', 'P68371'})"
"frozenset({'IL2', 'O95786', 'O14879'})"
"frozenset({'O43707', 'IL2', 'Q15599'})"
"frozenset({'IL2', 'Q9BWG6', 'Q14525'})"
"frozenset({'Q96CW1', 'IL2', 'Q9BQE3'})"
"frozenset({'Q13404', 'O00291', 'IL2'})"
"frozenset({'P11171', 'P61006', 'IL2'})"
"frozenset({'Q9UHD9', 'Q96CS7', 'IL2'})"
"frozenset({'Q8N7C3', 'IL2', 'Q53HC0'})"
"frozenset({'P04233', 'P0DMV8', 'IL2'})"
"frozenset({'P20963', 'IL2', 'Q6IED9'})"
"frozenset({'P19474', 'IL2', 'Q05516'})"
"frozenset({'Q2NKX9', 'Q14145', 'IL2'})"
"frozenset({'P06865', 'IL2', 'Q9BUL8'})"
"frozenset({'P06746', 'IL2', 'Q15006'})"
"frozenset({'Q13546', 'Q9NYJ8', 'IL2'})"
"frozenset({'P24864', 'Q9BS18', 'IL2'})"
"frozenset({'Q16774', 'Q15051', 'IL2'})"
"frozenset({'Q9Y6Y0', 'IL2', 'P11142'})"
"frozenset({'P48742', 'Q53TS8', 'IL2'})"
"frozenset({'IL2', 'Q9UBC1', 'P82930'})"
"frozenset({'P22735', 'Q96ER9', 'IL2'})"
"frozenset({'Q9NQX3', 'IL2', 'Q13813'})"
"frozenset({'Q9NSY1', 'Q9UHB6', 'IL2'})"
"frozenset({'P36897', 'Q9HAU4', 'IL2'})"
"frozenset({'P40855', 'Q01453', 'IL2'})"
"frozenset({'P62249', 'P07900', 'IL2'})"
"frozenset({'P98160', 'P55001', 'IL2'})"
"frozenset({'P04637', 'Q92994', 'IL2'})"
"frozenset({'P49761', 'Q8N2M8', 'IL2'})"
"frozenset({'Q96N67', 'Q9HCE1', 'IL2'})"
"frozenset({'P36873', 'P48729', 'IL2'})"
"frozenset({'P62244', 'P30050', 'IL2'})"
"frozenset({'IL2', 'Q15811', 'P27986'})"
"frozenset({'P04279', 'P57775', 'IL2'})"
"frozenset({'Q96JP2', 'Q8IYA8', 'IL2'})"
"frozenset({'P52907', 'A5YKK6', 'IL2'})"
"frozenset({'P01106', 'Q9H8V3', 'IL2'})"
"frozenset({'P51787', 'IL2', 'P62993'})"
"frozenset({'P35226', 'P42694', 'IL2'})"
"frozenset({'Q13616', 'IL2', 'O75155'})"
"frozenset({'Q9Y2I8', 'IL2', 'Q9UBU9'})"
"frozenset({'P62877', 'Q9UKB1', 'IL2'})"
"frozenset({'Q8NGE5', 'P17612', 'IL2'})"
"frozenset({'P27348', 'IL2', 'P28290'})"
"frozenset({'P10828', 'Q9Y618', 'IL2'})"
"frozenset({'Q7Z6Z7', 'Q9NZC7', 'IL2'})"
"frozenset({'Q13887', 'IL2', 'P46937'})"
"frozenset({'Q14126', 'P21333', 'IL2'})"
"frozenset({'Q9H3U1', 'IL2', 'P61964'})"
"frozenset({'Q9UKN8', 'IL2', 'Q9P0K8'})"
"frozenset({'Q9BZ95', 'Q8N726', 'IL2'})"
"frozenset({'Q9Y6F9', 'Q9H461', 'IL2'})"
"frozenset({'Q9H7D0', 'P30153', 'IL2'})"
"frozenset({'Q9UFW8', 'IL2', 'Q6IN84'})"
"frozenset({'P08047', 'P06241', 'IL2'})"
"frozenset({'P27816', 'Q9BXB1', 'IL2'})"
"frozenset({'Q9C0B0', 'Q9NVW2', 'IL2'})"
"frozenset({'IL2', 'Q9H5Z6', 'O94972'})"
"frozenset({'Q9P0N9', 'Q92764', 'IL2'})"
"frozenset({'Q13435', 'Q96JG6', 'IL2'})"
"frozenset({'Q6IQ23', 'Q86V48', 'IL2'})"
"frozenset({'Q9NP95', 'P35916', 'IL2'})"
"frozenset({'P08670', 'P16144', 'IL2'})"
"frozenset({'P31948', 'O43175', 'IL2'})"
"frozenset({'P08648', 'P53420', 'IL2'})"
"frozenset({'O00571', 'IL2', 'O14979'})"
"frozenset({'Q9NV70', 'IL2', 'Q13813'})"
"frozenset({'Q96FJ2', 'Q15365', 'IL2'})"
"frozenset({'P19838', 'P60709', 'IL2'})"
"frozenset({'Q9Y2Q3', 'Q15029', 'IL2'})"
"frozenset({'Q9Y232', 'O15131', 'IL2'})"
"frozenset({'Q8IZT6', 'Q8IYT4', 'IL2'})"
"frozenset({'P09884', 'IL2', 'Q9H668'})"
"frozenset({'O00329', 'P19174', 'IL2'})"
"frozenset({'Q01469', 'P68106', 'IL2'})"
"frozenset({'O75694', 'Q99459', 'IL2'})"
"frozenset({'Q6S5L8', 'P21802', 'IL2'})"
"frozenset({'Q9UJX2', 'Q9BS18', 'IL2'})"
"frozenset({'Q9Y2H5', 'P26358', 'IL2'})"
"frozenset({'O77932', 'Q9NPD3', 'IL2'})"
"frozenset({'Q9NQ88', 'IL2', 'P52789'})"
"frozenset({'O95967', 'Q3SY46', 'IL2'})"
"frozenset({'Q8NH64', 'Q9P2W3', 'IL2'})"
"frozenset({'P17020', 'P29972', 'IL2'})"
"frozenset({'Q8WXG6', 'P63104', 'IL2'})"
"frozenset({'P50914', 'Q03701', 'IL2'})"
"frozenset({'Q13421', 'P39210', 'IL2'})"
"frozenset({'O95995', 'Q5HYN5', 'IL2'})"
"frozenset({'O75376', 'IL2', 'P41229'})"
"frozenset({'Q32MK0', 'IL2', 'P62993'})"
"frozenset({'O75792', 'Q9Y485', 'IL2'})"
"frozenset({'P19404', 'P31930', 'IL2'})"
"frozenset({'O75928', 'Q13426', 'IL2'})"
"frozenset({'P40763', 'Q8TE76', 'IL2'})"
"frozenset({'Q14562', 'P61326', 'IL2'})"
"frozenset({'P52739', 'Q9BV86', 'IL2'})"
"frozenset({'Q13698', 'IL2', 'Q13237'})"
"frozenset({'P11308', 'IL2', 'P11142'})"
"frozenset({'Q9UPN4', 'Q9Y2D8', 'IL2'})"
"frozenset({'Q13542', 'IL2', 'Q15717'})"
"frozenset({'O95398', 'P10301', 'IL2'})"
"frozenset({'O43865', 'Q9UMX0', 'IL2'})"
"frozenset({'Q02978', 'P49715', 'IL2'})"
"frozenset({'P12830', 'IL2', 'Q92843'})"
"frozenset({'Q96S44', 'IL2', 'Q16665'})"
"frozenset({'O75817', 'Q13620', 'IL2'})"
"frozenset({'P26358', 'Q96EB6', 'IL2'})"
"frozenset({'Q92845', 'Q9GZU8', 'IL2'})"
"frozenset({'Q9BVG8', 'Q6A162', 'IL2'})"
"frozenset({'P61586', 'P55957', 'IL2'})"
"frozenset({'Q92738', 'P60006', 'IL2'})"
"frozenset({'Q5S007', 'P61586', 'IL2'})"
"frozenset({'Q8IVS8', 'Q53G59', 'IL2'})"
"frozenset({'Q00994', 'Q13155', 'IL2'})"
"frozenset({'Q5TCX8', 'Q9NWT6', 'IL2'})"
"frozenset({'Q8WUE5', 'Q92600', 'IL2'})"
"frozenset({'P78371', 'O00308', 'IL2'})"
"frozenset({'P48634', 'IL2', 'P46092'})"
"frozenset({'Q96QU8', 'IL2', 'P04406'})"
"frozenset({'P34741', 'P21359', 'IL2'})"
"frozenset({'P09619', 'P01568', 'IL2'})"
"frozenset({'P0CAP2', 'P36954', 'IL2'})"
"frozenset({'Q9H1A4', 'Q01201', 'IL2'})"
"frozenset({'P17612', 'IL2', 'Q8IWT1'})"
"frozenset({'Q9BXK1', 'P14625', 'IL2'})"
"frozenset({'Q53GQ0', 'P62820', 'IL2'})"
"frozenset({'Q16891', 'O96008', 'IL2'})"
"frozenset({'Q9ULW2', 'P04628', 'IL2'})"
"frozenset({'P02545', 'Q14739', 'IL2'})"
"frozenset({'Q53EL6', 'O94913', 'IL2'})"
"frozenset({'Q8HWS3', 'IL2', 'O43559'})"
"frozenset({'Q92934', 'Q9Y3M2', 'IL2'})"
"frozenset({'Q13765', 'Q5T3J3', 'IL2'})"
"frozenset({'P62495', 'P25786', 'IL2'})"
"frozenset({'P38398', 'Q8NFD5', 'IL2'})"
"frozenset({'P57723', 'Q08752', 'IL2'})"
"frozenset({'IL2', 'O60260', 'Q07820'})"
"frozenset({'P23434', 'P25786', 'IL2'})"
"frozenset({'P63173', 'IL2', 'P41252'})"
"frozenset({'P35626', 'Q8NHA4', 'IL2'})"
"frozenset({'O75084', 'IL2', 'Q96EQ0'})"
"frozenset({'Q6Q4G3', 'IL2', 'O14879'})"
"frozenset({'Q5VWK5', 'IL2', 'O75159'})"
"frozenset({'Q9Y5P3', 'IL2', 'Q96EQ0'})"
"frozenset({'Q9H2G9', 'Q8NA54', 'IL2'})"
"frozenset({'P14625', 'O43852', 'IL2'})"
"frozenset({'Q8NI77', 'Q9Y3A4', 'IL2'})"
"frozenset({'IL2', 'Q8IYB3', 'Q6ZW49'})"
"frozenset({'P10276', 'P28702', 'IL2'})"
"frozenset({'IL2', 'P06753', 'Q9UKI8'})"
"frozenset({'Q92784', 'Q969G3', 'IL2'})"
"frozenset({'Q8IXZ2', 'O75616', 'IL2'})"
"frozenset({'P23588', 'O43776', 'IL2'})"
"frozenset({'P35219', 'P49862', 'IL2'})"
"frozenset({'Q6N069', 'O00232', 'IL2'})"
"frozenset({'Q86SE9', 'IL2', 'P68400'})"
"frozenset({'Q9P0J7', 'P62277', 'IL2'})"
"frozenset({'Q96M27', 'Q96QD9', 'IL2'})"
"frozenset({'Q96JG6', 'P55072', 'IL2'})"
"frozenset({'Q8IWL8', 'IL2', 'P78337'})"
"frozenset({'P08579', 'Q9P2P5', 'IL2'})"
"frozenset({'O15511', 'P63261', 'IL2'})"
"frozenset({'Q8WVC0', 'P40939', 'IL2'})"
"frozenset({'Q14498', 'Q99728', 'IL2'})"
"frozenset({'Q8IY67', 'P63172', 'IL2'})"
"frozenset({'Q15370', 'Q8NHY2', 'IL2'})"
"frozenset({'IL2', 'Q71U36', 'Q8N0X7'})"
"frozenset({'Q9UKT9', 'Q7Z6R9', 'IL2'})"
"frozenset({'Q14896', 'P60709', 'IL2'})"
"frozenset({'Q13595', 'Q92905', 'IL2'})"
"frozenset({'P12931', 'Q15118', 'IL2'})"
"frozenset({'Q9UBI6', 'IL2', 'Q9UBY5'})"
"frozenset({'Q9Y6H1', 'Q8WV93', 'IL2'})"
"frozenset({'Q32MZ4', 'Q9NP31', 'IL2'})"
"frozenset({'P46776', 'Q8NE71', 'IL2'})"
"frozenset({'P38936', 'Q5VTD9', 'IL2'})"
"frozenset({'Q15436', 'Q86X19', 'IL2'})"
"frozenset({'P05412', 'O43865', 'IL2'})"
"frozenset({'P10276', 'P62195', 'IL2'})"
"frozenset({'Q9C0C9', 'IL2', 'Q9NQ29'})"
"frozenset({'P31327', 'IL2', 'Q12946'})"
"frozenset({'Q9Y3D9', 'P13612', 'IL2'})"
"frozenset({'Q15147', 'P21802', 'IL2'})"
"frozenset({'Q13464', 'P15311', 'IL2'})"
"frozenset({'Q12756', 'P17980', 'IL2'})"
"frozenset({'Q15084', 'P54105', 'IL2'})"
"frozenset({'Q3SYF9', 'IL2', 'Q16633'})"
"frozenset({'IL2', 'P10589', 'Q15717'})"
"frozenset({'Q4G176', 'Q9Y6E7', 'IL2'})"
"frozenset({'Q96EQ0', 'IL2', 'P49767'})"
"frozenset({'P78347', 'IL2', 'Q16633'})"
"frozenset({'Q15126', 'IL2', 'Q9H2D1'})"
"frozenset({'O75044', 'P21359', 'IL2'})"
"frozenset({'Q12770', 'Q12772', 'IL2'})"
"frozenset({'P61077', 'Q9UKC9', 'IL2'})"
"frozenset({'P35228', 'P25788', 'IL2'})"
"frozenset({'Q96KG7', 'Q24JP5', 'IL2'})"
"frozenset({'O00470', 'Q9Y586', 'IL2'})"
"frozenset({'P40763', 'Q99558', 'IL2'})"
"frozenset({'P12931', 'IL2', 'P19793'})"
"frozenset({'P15248', 'P08887', 'IL2'})"
"frozenset({'Q9NRD1', 'P60866', 'IL2'})"
"frozenset({'P30939', 'IL2', 'P01303'})"
"frozenset({'Q3KPI0', 'P54764', 'IL2'})"
"frozenset({'Q13275', 'O14786', 'IL2'})"
"frozenset({'P49841', 'P33076', 'IL2'})"
"frozenset({'Q9Y265', 'Q12933', 'IL2'})"
"frozenset({'P11047', 'P18564', 'IL2'})"
"frozenset({'Q9BRK4', 'P55040', 'IL2'})"
"frozenset({'Q96HB5', 'IL2', 'Q13137'})"
"frozenset({'Q8N5S9', 'Q8IU85', 'IL2'})"
"frozenset({'Q9NUQ7', 'Q8N128', 'IL2'})"
"frozenset({'Q13480', 'IL2', 'Q9BRG2'})"
"frozenset({'Q9GZT3', 'Q6A162', 'IL2'})"
"frozenset({'P20618', 'Q9Y5S9', 'IL2'})"
"frozenset({'Q96CW1', 'Q59EK9', 'IL2'})"
"frozenset({'Q12872', 'Q13535', 'IL2'})"
