negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'M', 'P48163', 'Q13287'})"
"frozenset({'M', 'Q8IXL6', 'Q9GZV9'})"
"frozenset({'Q00G26', 'M', 'Q86UD0'})"
"frozenset({'M', 'O15379', 'Q9Y4B6'})"
"frozenset({'M', 'P42701', 'P15248'})"
"frozenset({'Q71U36', 'M', 'Q04917'})"
"frozenset({'Q92888', 'M', 'Q14155'})"
"frozenset({'M', 'Q8NB16', 'Q9HD15'})"
"frozenset({'M', 'Q5TGI0', 'P10768'})"
"frozenset({'M', 'Q5S007', 'Q15008'})"
"frozenset({'P04629', 'M', 'P13804'})"
"frozenset({'P40429', 'M', 'P49736'})"
"frozenset({'P52298', 'M', 'P10074'})"
"frozenset({'M', 'P61964', 'P16220'})"
"frozenset({'Q8TE02', 'M', 'P0C7T5'})"
"frozenset({'Q08999', 'M', 'P21266'})"
"frozenset({'P25705', 'M', 'Q9H040'})"
"frozenset({'M', 'P63167', 'O14490'})"
"frozenset({'P26368', 'M', 'Q5T200'})"
"frozenset({'M', 'Q15637', 'Q15459'})"
"frozenset({'M', 'P27986', 'P17181'})"
"frozenset({'M', 'P45877', 'Q9NZ09'})"
"frozenset({'P29992', 'M', 'P04054'})"
"frozenset({'M', 'Q9HBH0', 'Q52LW3'})"
"frozenset({'Q13614', 'M', 'P07196'})"
"frozenset({'M', 'P30086', 'Q14914'})"
"frozenset({'P04629', 'M', 'Q7L0Y3'})"
"frozenset({'M', 'O00330', 'P05412'})"
"frozenset({'M', 'P14635', 'Q01105'})"
"frozenset({'M', 'Q99612', 'P12830'})"
"frozenset({'M', 'P09651', 'P82650'})"
"frozenset({'Q9UBU9', 'M', 'P57772'})"
"frozenset({'Q13813', 'M', 'Q12879'})"
"frozenset({'M', 'P02751', 'Q92900'})"
"frozenset({'M', 'O43889', 'O00268'})"
"frozenset({'M', 'P61088', 'Q86XS8'})"
"frozenset({'M', 'Q13596', 'P21283'})"
"frozenset({'M', 'P00505', 'Q14914'})"
"frozenset({'M', 'P30305', 'Q9Y3M2'})"
"frozenset({'M', 'P63173', 'Q9Y5M8'})"
"frozenset({'M', 'Q9Y3M8', 'Q5VZ89'})"
"frozenset({'Q14721', 'M', 'Q8TDN2'})"
"frozenset({'P17844', 'M', 'Q99459'})"
"frozenset({'M', 'P62937', 'P14209'})"
"frozenset({'P13569', 'M', 'P13645'})"
"frozenset({'Q7KZ85', 'P24928', 'M'})"
"frozenset({'Q05516', 'M', 'P20591'})"
"frozenset({'Q969F0', 'M', 'Q68CJ9'})"
"frozenset({'M', 'O14593', 'Q2KHR2'})"
"frozenset({'P02462', 'P53708', 'M'})"
"frozenset({'P38159', 'M', 'P17844'})"
"frozenset({'M', 'P12830', 'Q5VZ89'})"
"frozenset({'M', 'Q5T619', 'Q96PQ6'})"
"frozenset({'M', 'Q14197', 'Q7Z6M4'})"
"frozenset({'Q13045', 'P36957', 'M'})"
"frozenset({'M', 'Q07020', 'P83731'})"
"frozenset({'M', 'P51114', 'Q5JVS0'})"
"frozenset({'O95433', 'M', 'P0DMV8'})"
"frozenset({'P18564', 'M', 'P12111'})"
"frozenset({'M', 'P05067', 'Q9BV57'})"
"frozenset({'M', 'Q96B02', 'Q9C035'})"
"frozenset({'M', 'P16615', 'Q9UQL6'})"
"frozenset({'M', 'Q01968', 'Q8N4B1'})"
"frozenset({'Q13315', 'M', 'P26641'})"
"frozenset({'M', 'Q9UPT5', 'Q96EV8'})"
"frozenset({'M', 'O00716', 'P01106'})"
"frozenset({'M', 'Q05397', 'P01871'})"
"frozenset({'M', 'O43175', 'P78330'})"
"frozenset({'M', 'Q13683', 'P07996'})"
"frozenset({'O00170', 'M', 'Q6IA69'})"
"frozenset({'M', 'Q9BQE3', 'Q93034'})"
"frozenset({'M', 'O75717', 'O43390'})"
"frozenset({'Q00613', 'M', 'P14625'})"
"frozenset({'M', 'Q9UBK5', 'P19174'})"
"frozenset({'O75364', 'M', 'P0DJI8'})"
"frozenset({'P34932', 'M', 'P36897'})"
"frozenset({'M', 'P49758', 'Q13200'})"
"frozenset({'M', 'P50402', 'Q13263'})"
"frozenset({'M', 'Q9P2P5', 'Q8N635'})"
"frozenset({'M', 'Q96Q45', 'Q5JTV8'})"
"frozenset({'M', 'P53539', 'Q9HD15'})"
"frozenset({'P15408', 'M', 'P26640'})"
"frozenset({'Q9UBN1', 'M', 'Q96DX4'})"
"frozenset({'M', 'Q5HYW2', 'Q96EV8'})"
"frozenset({'M', 'Q13111', 'O95758'})"
"frozenset({'M', 'Q5JRA6', 'Q92731'})"
"frozenset({'M', 'Q01844', 'Q13642'})"
"frozenset({'P07814', 'M', 'Q9BRG1'})"
"frozenset({'M', 'Q99871', 'Q9Y5K5'})"
"frozenset({'M', 'Q0D2K3', 'P05067'})"
"frozenset({'P53999', 'M', 'Q16633'})"
