negatives
"frozenset({'Q9UBV4', 'Q6FHJ7', 'RANKL'})"
"frozenset({'Q9UEG4', 'P62807', 'RANKL'})"
"frozenset({'Q99873', 'RANKL', 'P49736'})"
"frozenset({'P62244', 'P46777', 'RANKL'})"
"frozenset({'Q9GZM8', 'RANKL', 'O95721'})"
"frozenset({'Q2NKJ3', 'Q8N5Z5', 'RANKL'})"
"frozenset({'RANKL', 'P42356', 'Q99523'})"
"frozenset({'RANKL', 'P55198', 'Q8TEK3'})"
"frozenset({'Q96QR1', 'RANKL', 'O14965'})"
"frozenset({'Q96GD4', 'P06748', 'RANKL'})"
"frozenset({'O60658', 'RANKL', 'Q01201'})"
"frozenset({'RANKL', 'Q96HB5', 'Q15323'})"
"frozenset({'RANKL', 'Q15283', 'Q9UBI6'})"
"frozenset({'P63167', 'RANKL', 'Q07817'})"
"frozenset({'Q13191', 'RANKL', 'Q969J5'})"
"frozenset({'RANKL', 'P09234', 'Q13643'})"
"frozenset({'RANKL', 'Q96LJ8', 'P55072'})"
"frozenset({'O00165', 'RANKL', 'P06576'})"
"frozenset({'RANKL', 'P32004', 'Q9UHK0'})"
"frozenset({'O60256', 'RANKL', 'O96028'})"
"frozenset({'RANKL', 'Q13237', 'P50552'})"
"frozenset({'RANKL', 'P08754', 'Q9UBS5'})"
"frozenset({'RANKL', 'Q8TB61', 'Q8WXA8'})"
"frozenset({'P63165', 'RANKL', 'P49711'})"
"frozenset({'RANKL', 'Q9HAV0', 'P61952'})"
"frozenset({'RANKL', 'P21333', 'Q00610'})"
"frozenset({'RANKL', 'Q15366', 'Q8IWS0'})"
"frozenset({'Q8TC92', 'RANKL', 'Q96BQ3'})"
"frozenset({'P10074', 'RANKL', 'P60370'})"
"frozenset({'Q99714', 'RANKL', 'P22626'})"
"frozenset({'Q6NUK1', 'RANKL', 'Q8WVE6'})"
"frozenset({'Q9Y6M0', 'RANKL', 'Q9NRD1'})"
"frozenset({'RANKL', 'Q14694', 'Q99459'})"
"frozenset({'Q9H2J4', 'RANKL', 'P40227'})"
"frozenset({'P60410', 'RANKL', 'P29972'})"
"frozenset({'Q8IVW4', 'RANKL', 'O94972'})"
"frozenset({'RANKL', 'Q9NQX5', 'P30281'})"
"frozenset({'P06239', 'RANKL', 'Q9HBA0'})"
"frozenset({'Q9P2P5', 'RANKL', 'Q9NRA0'})"
"frozenset({'RANKL', 'O00267', 'Q58WW2'})"
"frozenset({'O94888', 'RANKL', 'Q8WVD3'})"
"frozenset({'Q8WW24', 'RANKL', 'Q9NZV7'})"
"frozenset({'RANKL', 'P13535', 'Q9UKX3'})"
"frozenset({'RANKL', 'Q9UKD2', 'Q8TDN6'})"
"frozenset({'O60664', 'P54105', 'RANKL'})"
"frozenset({'Q9NWB1', 'RANKL', 'Q9BRK4'})"
"frozenset({'RANKL', 'Q99614', 'Q14190'})"
"frozenset({'RANKL', 'Q9Y5Q8', 'Q9Y5Q9'})"
"frozenset({'RANKL', 'P05023', 'O95793'})"
"frozenset({'Q13616', 'P62318', 'RANKL'})"
"frozenset({'P60033', 'RANKL', 'Q07666'})"
"frozenset({'O14980', 'RANKL', 'Q9P0V9'})"
"frozenset({'O14979', 'RANKL', 'P27694'})"
"frozenset({'Q86X19', 'Q9UHR4', 'RANKL'})"
"frozenset({'RANKL', 'Q6ZW49', 'P50750'})"
"frozenset({'RANKL', 'Q9NYS0', 'P05067'})"
"frozenset({'RANKL', 'P20618', 'Q96RG2'})"
"frozenset({'P47712', 'Q9HD64', 'RANKL'})"
"frozenset({'P50607', 'RANKL', 'P00519'})"
