negatives
"frozenset({'Q92974', 'O15117', 'FSH'})"
"frozenset({'Q96EB1', 'FSH', 'Q6IA86'})"
"frozenset({'P12111', 'O75578', 'FSH'})"
"frozenset({'Q96KQ7', 'P17676', 'FSH'})"
"frozenset({'Q96IZ7', 'Q13868', 'FSH'})"
"frozenset({'Q8N1G2', 'P10644', 'FSH'})"
"frozenset({'Q9UL42', 'O15078', 'FSH'})"
"frozenset({'Q99523', 'P51659', 'FSH'})"
"frozenset({'Q9P0P8', 'FSH', 'Q07021'})"
"frozenset({'P20036', 'FSH', 'Q9Y619'})"
"frozenset({'P51991', 'Q15366', 'FSH'})"
"frozenset({'Q9NTG7', 'P38646', 'FSH'})"
"frozenset({'Q8N5V2', 'P36542', 'FSH'})"
"frozenset({'P16333', 'O94856', 'FSH'})"
"frozenset({'O75208', 'Q9NRP2', 'FSH'})"
"frozenset({'Q8NGK5', 'P62873', 'FSH'})"
"frozenset({'Q92569', 'P10827', 'FSH'})"
"frozenset({'Q13619', 'Q9BT78', 'FSH'})"
"frozenset({'Q9H9B4', 'Q9P2K5', 'FSH'})"
"frozenset({'Q13263', 'Q8NEB9', 'FSH'})"
"frozenset({'Q96EK7', 'Q6PIL6', 'FSH'})"
"frozenset({'Q9Y678', 'Q9P299', 'FSH'})"
"frozenset({'FSH', 'Q96LC9', 'P10275'})"
"frozenset({'O00442', 'P62330', 'FSH'})"
"frozenset({'Q9BXS5', 'Q8WV44', 'FSH'})"
"frozenset({'Q12857', 'P62280', 'FSH'})"
"frozenset({'Q96P70', 'P55209', 'FSH'})"
"frozenset({'FSH', 'P53602', 'P63241'})"
"frozenset({'FSH', 'Q01167', 'Q9Y5X1'})"
"frozenset({'P51159', 'Q05516', 'FSH'})"
"frozenset({'O60244', 'P09913', 'FSH'})"
"frozenset({'P51790', 'O14745', 'FSH'})"
"frozenset({'Q9H4L7', 'Q86VM9', 'FSH'})"
"frozenset({'FSH', 'P55795', 'O75937'})"
"frozenset({'FSH', 'P26012', 'P21333'})"
"frozenset({'FSH', 'P22694', 'Q8NGX1'})"
"frozenset({'O43896', 'Q13769', 'FSH'})"
"frozenset({'P68133', 'Q9HAU4', 'FSH'})"
"frozenset({'P62277', 'P62750', 'FSH'})"
"frozenset({'Q6ZW49', 'Q86YH2', 'FSH'})"
"frozenset({'Q86UX6', 'Q58FG1', 'FSH'})"
"frozenset({'O95786', 'Q5U5Q3', 'FSH'})"
"frozenset({'Q9H8Y8', 'O00151', 'FSH'})"
"frozenset({'P60520', 'Q86VP1', 'FSH'})"
"frozenset({'P68400', 'FSH', 'P31946'})"
"frozenset({'Q9Y2K7', 'FSH', 'P84022'})"
"frozenset({'P05113', 'Q13651', 'FSH'})"
"frozenset({'Q01664', 'Q5H9R7', 'FSH'})"
"frozenset({'Q8IYI6', 'Q01546', 'FSH'})"
"frozenset({'Q8IXL6', 'P11168', 'FSH'})"
"frozenset({'P46109', 'P21802', 'FSH'})"
"frozenset({'Q5T9C9', 'O14986', 'FSH'})"
"frozenset({'FSH', 'Q9Y6Q9', 'Q15596'})"
"frozenset({'Q9NR12', 'Q00610', 'FSH'})"
"frozenset({'Q9HB90', 'Q9BVC4', 'FSH'})"
"frozenset({'Q15645', 'O95231', 'FSH'})"
"frozenset({'Q86X19', 'Q8TEV9', 'FSH'})"
"frozenset({'P23508', 'P41252', 'FSH'})"
"frozenset({'Q4VCS5', 'Q9NZC7', 'FSH'})"
"frozenset({'P11441', 'P62753', 'FSH'})"
"frozenset({'P68366', 'Q71U36', 'FSH'})"
"frozenset({'Q13263', 'FSH', 'Q96CS4'})"
"frozenset({'Q15797', 'Q9UHC1', 'FSH'})"
"frozenset({'Q9BPZ7', 'Q9BQK8', 'FSH'})"
"frozenset({'O43396', 'Q93009', 'FSH'})"
"frozenset({'Q9BTV5', 'Q06124', 'FSH'})"
"frozenset({'FSH', 'Q6NXE6', 'Q99832'})"
"frozenset({'FSH', 'P30101', 'P38606'})"
"frozenset({'FSH', 'P04626', 'Q92973'})"
"frozenset({'P50552', 'Q9UM73', 'FSH'})"
"frozenset({'O43741', 'Q9BRK4', 'FSH'})"
"frozenset({'P27482', 'Q9NQW6', 'FSH'})"
"frozenset({'Q13619', 'P31269', 'FSH'})"
"frozenset({'P09912', 'FSH', 'Q15717'})"
"frozenset({'Q9BW92', 'Q9UIM3', 'FSH'})"
"frozenset({'FSH', 'P01730', 'P01920'})"
"frozenset({'FSH', 'Q9NZR2', 'Q3SYB3'})"
"frozenset({'Q9H0R8', 'Q96EP5', 'FSH'})"
"frozenset({'Q6NW34', 'P16615', 'FSH'})"
"frozenset({'Q9UID3', 'O00233', 'FSH'})"
"frozenset({'Q9Y5V3', 'Q5I0X7', 'FSH'})"
"frozenset({'FSH', 'Q13151', 'P42677'})"
"frozenset({'P48163', 'P48147', 'FSH'})"
"frozenset({'Q9BZL4', 'Q01449', 'FSH'})"
"frozenset({'P61201', 'Q9Y4E8', 'FSH'})"
"frozenset({'Q9BQ95', 'Q9Y6Q5', 'FSH'})"
"frozenset({'FSH', 'Q9BY67', 'P62633'})"
"frozenset({'P53420', 'FSH', 'P05106'})"
"frozenset({'Q92564', 'Q13618', 'FSH'})"
"frozenset({'Q8N726', 'P17980', 'FSH'})"
"frozenset({'P80188', 'Q9H6B4', 'FSH'})"
"frozenset({'P51532', 'P35226', 'FSH'})"
"frozenset({'FSH', 'P25098', 'Q8NGU2'})"
"frozenset({'Q15109', 'P02745', 'FSH'})"
"frozenset({'P20036', 'FSH', 'Q15375'})"
"frozenset({'O00170', 'P38646', 'FSH'})"
"frozenset({'FSH', 'P10809', 'P11308'})"
"frozenset({'Q5T754', 'Q92504', 'FSH'})"
"frozenset({'Q96HA8', 'Q5T751', 'FSH'})"
"frozenset({'Q8WXH5', 'O60674', 'FSH'})"
"frozenset({'P14174', 'Q86XK2', 'FSH'})"
"frozenset({'FSH', 'Q8TBB1', 'Q9NZ81'})"
"frozenset({'Q12874', 'O94842', 'FSH'})"
"frozenset({'P60371', 'Q7Z2W4', 'FSH'})"
"frozenset({'Q9H0W5', 'P14618', 'FSH'})"
"frozenset({'Q9UJ70', 'Q6UXN9', 'FSH'})"
"frozenset({'FSH', 'Q9Y5J5', 'Q9Y5L0'})"
"frozenset({'FSH', 'Q9NSC5', 'Q9UPX8'})"
"frozenset({'Q9H765', 'Q9C0C7', 'FSH'})"
"frozenset({'O00567', 'P30050', 'FSH'})"
"frozenset({'Q53S33', 'O76011', 'FSH'})"
"frozenset({'P09874', 'Q13131', 'FSH'})"
"frozenset({'Q99626', 'O14627', 'FSH'})"
"frozenset({'Q05639', 'Q9GZQ8', 'FSH'})"
"frozenset({'Q92844', 'Q13077', 'FSH'})"
"frozenset({'P17480', 'Q9NXR8', 'FSH'})"
"frozenset({'P41227', 'Q9NTK1', 'FSH'})"
"frozenset({'P18124', 'FSH', 'P42677'})"
"frozenset({'O60806', 'Q15915', 'FSH'})"
"frozenset({'O60262', 'Q8NGQ5', 'FSH'})"
"frozenset({'P49796', 'P05067', 'FSH'})"
"frozenset({'Q8WXD5', 'Q96D03', 'FSH'})"
"frozenset({'P17948', 'Q9NP95', 'FSH'})"
"frozenset({'FSH', 'Q08174', 'Q9P2E3'})"
"frozenset({'Q5VYK3', 'Q92499', 'FSH'})"
"frozenset({'Q9BX95', 'Q5T3F8', 'FSH'})"
"frozenset({'O00159', 'O00422', 'FSH'})"
"frozenset({'FSH', 'P67775', 'Q96SY0'})"
"frozenset({'Q02818', 'P35354', 'FSH'})"
"frozenset({'P0C869', 'P29466', 'FSH'})"
"frozenset({'FSH', 'P60468', 'P52739'})"
"frozenset({'Q9P0N8', 'P51668', 'FSH'})"
"frozenset({'Q86Y13', 'FSH', 'Q96LR5'})"
"frozenset({'P51531', 'Q92925', 'FSH'})"
"frozenset({'P36404', 'FSH', 'Q13885'})"
"frozenset({'Q9NWK9', 'Q15796', 'FSH'})"
"frozenset({'Q9NPF4', 'Q9UBE0', 'FSH'})"
"frozenset({'Q12968', 'Q02080', 'FSH'})"
"frozenset({'Q9Y6V7', 'Q08J23', 'FSH'})"
"frozenset({'P45983', 'P79522', 'FSH'})"
"frozenset({'FSH', 'Q9BRU9', 'Q7Z6Z7'})"
"frozenset({'O95379', 'Q14315', 'FSH'})"
"frozenset({'O60563', 'O43918', 'FSH'})"
"frozenset({'O95292', 'P51798', 'FSH'})"
"frozenset({'FSH', 'O43318', 'Q7L7X3'})"
"frozenset({'P05091', 'Q9NTG7', 'FSH'})"
"frozenset({'O43164', 'Q9Y5V3', 'FSH'})"
"frozenset({'Q9NZ94', 'Q9P2S2', 'FSH'})"
"frozenset({'Q9NZJ7', 'Q9C002', 'FSH'})"
"frozenset({'Q96JB5', 'Q15750', 'FSH'})"
"frozenset({'Q6PF18', 'P54646', 'FSH'})"
"frozenset({'O15212', 'Q13547', 'FSH'})"
"frozenset({'Q9H492', 'FSH', 'Q15025'})"
"frozenset({'FSH', 'P52701', 'Q01860'})"
"frozenset({'Q8NG92', 'P22694', 'FSH'})"
"frozenset({'Q9NRL2', 'P34947', 'FSH'})"
"frozenset({'O15084', 'P67870', 'FSH'})"
"frozenset({'Q9BT40', 'P81605', 'FSH'})"
"frozenset({'FSH', 'P33241', 'P04049'})"
"frozenset({'Q9Y3M8', 'Q14966', 'FSH'})"
"frozenset({'P07814', 'P49703', 'FSH'})"
"frozenset({'FSH', 'Q92793', 'P61289'})"
"frozenset({'P04792', 'P02794', 'FSH'})"
"frozenset({'Q15392', 'Q9H2H9', 'FSH'})"
"frozenset({'Q8TB72', 'Q8WY41', 'FSH'})"
"frozenset({'Q00610', 'O95793', 'FSH'})"
"frozenset({'Q9Y3A5', 'Q9NUX5', 'FSH'})"
"frozenset({'Q9Y6D5', 'Q14432', 'FSH'})"
"frozenset({'Q86XJ1', 'P35579', 'FSH'})"
"frozenset({'FSH', 'P07355', 'P33992'})"
"frozenset({'P61247', 'P22090', 'FSH'})"
"frozenset({'P31943', 'P35637', 'FSH'})"
"frozenset({'Q8TD10', 'Q96MY7', 'FSH'})"
"frozenset({'P01892', 'Q9Y385', 'FSH'})"
"frozenset({'O95166', 'P78527', 'FSH'})"
"frozenset({'FSH', 'O14965', 'P60468'})"
"frozenset({'Q8N0X7', 'P38646', 'FSH'})"
"frozenset({'Q14994', 'Q93074', 'FSH'})"
"frozenset({'Q13636', 'P31150', 'FSH'})"
"frozenset({'Q5JR59', 'FSH', 'Q6IQ23'})"
"frozenset({'Q9NSE2', 'P57077', 'FSH'})"
"frozenset({'Q9NY97', 'Q9BRR3', 'FSH'})"
"frozenset({'Q9H0W5', 'O14639', 'FSH'})"
"frozenset({'P25398', 'P27635', 'FSH'})"
"frozenset({'Q16666', 'Q8IYB3', 'FSH'})"
"frozenset({'O75439', 'P26440', 'FSH'})"
"frozenset({'Q969Q0', 'P18077', 'FSH'})"
"frozenset({'P49368', 'Q92526', 'FSH'})"
"frozenset({'P10070', 'Q15797', 'FSH'})"
"frozenset({'P19793', 'FSH', 'P32302'})"
"frozenset({'Q13618', 'O75807', 'FSH'})"
"frozenset({'Q8N1B4', 'Q6NYC8', 'FSH'})"
"frozenset({'Q08170', 'Q08211', 'FSH'})"
"frozenset({'Q9NQC8', 'Q9NWB7', 'FSH'})"
"frozenset({'Q9H845', 'Q14197', 'FSH'})"
"frozenset({'P11171', 'P63220', 'FSH'})"
"frozenset({'Q8NGT9', 'O60262', 'FSH'})"
"frozenset({'FSH', 'Q969Z4', 'Q9UBU9'})"
"frozenset({'FSH', 'P61006', 'Q7RTP6'})"
"frozenset({'Q9UF72', 'P32242', 'FSH'})"
"frozenset({'P48454', 'Q9UJX6', 'FSH'})"
"frozenset({'O75792', 'Q9BY77', 'FSH'})"
"frozenset({'Q6PKG0', 'FSH', 'Q99728'})"
"frozenset({'Q9Y478', 'FSH', 'Q13526'})"
"frozenset({'FSH', 'P37198', 'Q53FT3'})"
"frozenset({'Q9BYQ6', 'Q5TA78', 'FSH'})"
"frozenset({'FSH', 'Q96HB5', 'Q9H2G9'})"
"frozenset({'FSH', 'Q8NBS9', 'P60369'})"
"frozenset({'P21796', 'Q9Y2Q3', 'FSH'})"
"frozenset({'Q9NRC8', 'Q99880', 'FSH'})"
"frozenset({'O75461', 'Q9H0A8', 'FSH'})"
"frozenset({'FSH', 'Q9UQE7', 'Q15393'})"
"frozenset({'P98170', 'Q96P09', 'FSH'})"
"frozenset({'P13612', 'Q5VTE0', 'FSH'})"
"frozenset({'P67870', 'P01241', 'FSH'})"
"frozenset({'O95319', 'P62993', 'FSH'})"
"frozenset({'Q9UGI0', 'Q6NYC8', 'FSH'})"
"frozenset({'Q6P5W5', 'Q9NQ11', 'FSH'})"
"frozenset({'Q9P2K8', 'Q16236', 'FSH'})"
"frozenset({'Q9UKV0', 'P62807', 'FSH'})"
"frozenset({'Q16594', 'P51681', 'FSH'})"
"frozenset({'P11021', 'O14965', 'FSH'})"
"frozenset({'Q9GZQ8', 'Q9UIL1', 'FSH'})"
"frozenset({'FSH', 'P29992', 'Q9BZM1'})"
"frozenset({'P13612', 'P62258', 'FSH'})"
"frozenset({'O60828', 'P51681', 'FSH'})"
"frozenset({'P43243', 'O75509', 'FSH'})"
"frozenset({'P13232', 'P08887', 'FSH'})"
"frozenset({'FSH', 'O60826', 'Q9Y6G5'})"
"frozenset({'P42345', 'Q9H269', 'FSH'})"
"frozenset({'P68400', 'FSH', 'Q06587'})"
"frozenset({'P12830', 'Q9NQU5', 'FSH'})"
"frozenset({'P63151', 'Q04206', 'FSH'})"
"frozenset({'P24387', 'O95067', 'FSH'})"
"frozenset({'FSH', 'Q5XPI4', 'O00469'})"
"frozenset({'Q9Y2L9', 'Q99496', 'FSH'})"
"frozenset({'Q8NI27', 'P48067', 'FSH'})"
"frozenset({'O95166', 'FSH', 'P15924'})"
"frozenset({'Q86SG6', 'Q02790', 'FSH'})"
"frozenset({'Q9Y230', 'Q9NXR8', 'FSH'})"
