negatives
"frozenset({'Q14CS0', 'IL6', 'Q8NFH3'})"
"frozenset({'IL6', 'P23458', 'Q8WYR1'})"
"frozenset({'IL6', 'P21127', 'P10275'})"
"frozenset({'IL6', 'P21860', 'Q13480'})"
"frozenset({'IL6', 'Q719H9', 'O00560'})"
"frozenset({'IL6', 'P25098', 'Q9H341'})"
"frozenset({'IL6', 'P13236', 'Q9P0N8'})"
"frozenset({'IL6', 'P01040', 'Q9BQF6'})"
"frozenset({'IL6', 'Q9NR30', 'P54274'})"
"frozenset({'P18859', 'P30049', 'IL6'})"
"frozenset({'IL6', 'P07307', 'Q96HA1'})"
"frozenset({'Q86VP6', 'P35659', 'IL6'})"
"frozenset({'IL6', 'O43396', 'P04792'})"
"frozenset({'IL6', 'Q9UHA4', 'Q8N726'})"
"frozenset({'IL6', 'Q9NXS2', 'Q9HCK5'})"
"frozenset({'IL6', 'Q15170', 'Q06124'})"
"frozenset({'IL6', 'Q6NUQ1', 'Q9BSH4'})"
"frozenset({'IL6', 'P40429', 'P46779'})"
"frozenset({'IL6', 'Q9UK22', 'P63208'})"
"frozenset({'IL6', 'Q08722', 'Q8N205'})"
"frozenset({'Q15843', 'Q13309', 'IL6'})"
"frozenset({'IL6', 'P0DML2', 'P23458'})"
"frozenset({'IL6', 'Q96PM5', 'P08709'})"
"frozenset({'IL6', 'O75342', 'O95872'})"
"frozenset({'IL6', 'P12814', 'Q8TDR0'})"
"frozenset({'Q5BJF6', 'P36941', 'IL6'})"
"frozenset({'O75569', 'Q9HA38', 'IL6'})"
"frozenset({'IL6', 'Q9BQG0', 'Q04206'})"
"frozenset({'IL6', 'Q96S15', 'A6NHX0'})"
"frozenset({'IL6', 'P51784', 'Q8NDT2'})"
"frozenset({'IL6', 'P32119', 'P28838'})"
"frozenset({'IL6', 'O95714', 'P04439'})"
"frozenset({'IL6', 'Q05397', 'P12931'})"
"frozenset({'IL6', 'Q504Q3', 'Q9H3K6'})"
"frozenset({'IL6', 'Q9BZW7', 'Q8NA61'})"
"frozenset({'IL6', 'P34925', 'Q9UBU9'})"
"frozenset({'IL6', 'P41235', 'O60656'})"
"frozenset({'P30307', 'Q6ZW31', 'IL6'})"
"frozenset({'P42575', 'P68400', 'IL6'})"
"frozenset({'P50914', 'Q13616', 'IL6'})"
"frozenset({'Q9UP38', 'P06576', 'IL6'})"
"frozenset({'IL6', 'Q16851', 'Q86YR5'})"
"frozenset({'Q12968', 'IL6', 'P53779'})"
"frozenset({'IL6', 'Q5SZL2', 'Q7KZI7'})"
"frozenset({'IL6', 'Q96PN8', 'O95678'})"
"frozenset({'Q8TF42', 'IL6', 'P60709'})"
"frozenset({'IL6', 'Q7L5A3', 'Q9NR12'})"
"frozenset({'IL6', 'Q06033', 'Q09472'})"
"frozenset({'IL6', 'Q9UMX1', 'Q86UZ6'})"
"frozenset({'Q9Y261', 'Q92826', 'IL6'})"
"frozenset({'IL6', 'P34932', 'O95084'})"
"frozenset({'IL6', 'Q9UKV0', 'P46013'})"
"frozenset({'IL6', 'Q14164', 'Q7Z434'})"
"frozenset({'IL6', 'Q9UBQ5', 'P13612'})"
"frozenset({'IL6', 'O95999', 'P67775'})"
"frozenset({'IL6', 'Q15717', 'Q5W0V3'})"
"frozenset({'P36542', 'P21246', 'IL6'})"
"frozenset({'IL6', 'P55036', 'Q9Y297'})"
"frozenset({'IL6', 'Q9NYU2', 'Q9BZV1'})"
"frozenset({'IL6', 'Q6ZU80', 'Q8N1G4'})"
"frozenset({'IL6', 'Q8WXI3', 'P50402'})"
"frozenset({'P08069', 'Q9Y4K3', 'IL6'})"
"frozenset({'IL6', 'Q8IVT5', 'Q99873'})"
"frozenset({'IL6', 'Q9NRG0', 'P37837'})"
"frozenset({'IL6', 'Q9NQI0', 'Q96GG9'})"
"frozenset({'IL6', 'P67775', 'Q02241'})"
"frozenset({'IL6', 'P42566', 'Q86X19'})"
"frozenset({'IL6', 'P51959', 'Q8TBC3'})"
"frozenset({'IL6', 'Q9Y3Z3', 'Q13619'})"
"frozenset({'IL6', 'Q00653', 'Q3ZCQ8'})"
"frozenset({'IL6', 'P00533', 'Q96S52'})"
"frozenset({'P15735', 'Q7Z7K6', 'IL6'})"
"frozenset({'IL6', 'Q16822', 'Q14CZ7'})"
"frozenset({'IL6', 'P13498', 'P14598'})"
"frozenset({'Q53GQ0', 'Q9UHD9', 'IL6'})"
"frozenset({'IL6', 'Q9H0W5', 'Q9NR30'})"
"frozenset({'IL6', 'P04637', 'P49902'})"
"frozenset({'IL6', 'Q9NRM7', 'Q96C92'})"
"frozenset({'IL6', 'Q15650', 'P20226'})"
"frozenset({'IL6', 'P62945', 'P61254'})"
"frozenset({'IL6', 'Q16610', 'Q9P2P5'})"
"frozenset({'IL6', 'Q9Y6E7', 'Q5T440'})"
"frozenset({'IL6', 'P50222', 'Q8N456'})"
"frozenset({'IL6', 'P68036', 'Q13064'})"
"frozenset({'IL6', 'P25116', 'Q5JY77'})"
"frozenset({'IL6', 'Q9Y6K9', 'Q9UMR2'})"
"frozenset({'IL6', 'Q9BZZ2', 'P16150'})"
"frozenset({'Q9UM73', 'Q14004', 'IL6'})"
"frozenset({'IL6', 'P08575', 'O75955'})"
"frozenset({'IL6', 'Q14204', 'Q9H4B7'})"
"frozenset({'IL6', 'Q96HF1', 'O00144'})"
"frozenset({'IL6', 'Q5HYA8', 'O95274'})"
"frozenset({'Q13315', 'O60281', 'IL6'})"
"frozenset({'IL6', 'P51170', 'O75604'})"
"frozenset({'IL6', 'Q68E01', 'P52435'})"
"frozenset({'IL6', 'P13984', 'Q00169'})"
"frozenset({'IL6', 'Q92900', 'Q9Y230'})"
"frozenset({'IL6', 'Q9BY42', 'Q8NDF8'})"
"frozenset({'IL6', 'P08621', 'P09012'})"
"frozenset({'IL6', 'P61353', 'P62241'})"
"frozenset({'IL6', 'Q93034', 'O14526'})"
"frozenset({'Q13315', 'O94856', 'IL6'})"
"frozenset({'IL6', 'Q9P0L0', 'Q14157'})"
"frozenset({'Q12824', 'P24928', 'IL6'})"
"frozenset({'IL6', 'P55072', 'Q9UKB1'})"
"frozenset({'IL6', 'Q92905', 'Q8WXX5'})"
"frozenset({'IL6', 'Q13561', 'Q7Z2T5'})"
"frozenset({'IL6', 'Q9NSY0', 'P61224'})"
"frozenset({'IL6', 'Q03135', 'P27361'})"
"frozenset({'IL6', 'Q7Z6Z7', 'P42858'})"
