negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'P00533', 'Q8N5H7', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P60520', 'P22735'})"
"frozenset({'O60294', 'Alpha6Beta4Integrin', 'P41250'})"
"frozenset({'P45984', 'Q5JST6', 'Alpha6Beta4Integrin'})"
"frozenset({'P62244', 'P62841', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q14738', 'Q9NY47'})"
"frozenset({'Q15365', 'Q13885', 'Alpha6Beta4Integrin'})"
"frozenset({'P42695', 'Alpha6Beta4Integrin', 'P0C7P0'})"
"frozenset({'Q9GZR1', 'Alpha6Beta4Integrin', 'Q92993'})"
"frozenset({'Q9NSK0', 'P63104', 'Alpha6Beta4Integrin'})"
"frozenset({'P54646', 'Q15831', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NFW9', 'Alpha6Beta4Integrin', 'P16220'})"
"frozenset({'P0DP24', 'Alpha6Beta4Integrin', 'P59817'})"
"frozenset({'Q9NPJ6', 'Q8TB72', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86YD3', 'Alpha6Beta4Integrin', 'P07942'})"
"frozenset({'Q99575', 'O00541', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IY92', 'P48594', 'Alpha6Beta4Integrin'})"
"frozenset({'P21589', 'Alpha6Beta4Integrin', 'Q8NBN7'})"
"frozenset({'Q9BQ67', 'P60520', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4K3', 'P35080', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96B77', 'Q9Y282', 'Alpha6Beta4Integrin'})"
"frozenset({'P01583', 'P29466', 'Alpha6Beta4Integrin'})"
"frozenset({'P61978', 'Alpha6Beta4Integrin', 'O00213'})"
"frozenset({'Q9UHA4', 'Q9NS69', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BVJ6', 'Q9H8T0', 'Alpha6Beta4Integrin'})"
"frozenset({'O96006', 'P21281', 'Alpha6Beta4Integrin'})"
"frozenset({'O94955', 'Alpha6Beta4Integrin', 'P43631'})"
