negatives
"('P38646', 'Q9Y4K3')"
"('O14746', '7012')"
"('P62753', 'P62841')"
"('P01889', 'P37802')"
"('P62318', 'P54105')"
"('P45983', 'P46109')"
"('Q16891', 'Q9BXP5')"
"('Q75N90', 'P38936')"
"('P10914', 'O00526')"
"('Q9NRI5', 'Q9BZJ0')"
"('P39023', 'O43586')"
"('O15350', 'P46934')"
"('Q15365', 'O75815')"
"('Q14103', 'O95400')"
"('Q13557', 'Q08289')"
"('P67870', 'O95243')"
"('P31689', 'Q13233')"
"('P61289', 'Q00987')"
"('P16220', 'Q9UQ03')"
"('Q14254', 'P13569')"
"('O43504', 'Q9H063')"
"('Q92793', 'P19544')"
"('P36873', 'Q68CJ9')"
"('P40763', 'P16473')"
"('P22607', 'P42566')"
"('P14314', 'P18146')"
"('Q9H4L7', 'P43246')"
"('P35609', 'Q8IYT8')"
"('P24928', 'Q96H20')"
"('P62280', 'P63220')"
"('O14543', 'Q01113')"
"('P32121', 'Q8NH02')"
"('P23786', 'Q14197')"
"('P26599', 'O60508')"
"('O95167', 'Q16795')"
"('Q9UNS2', 'Q99627')"
"('P45985', 'P13010')"
"('Q96LZ3', 'O95644')"
"('P08754', 'P45983')"
"('P30101', 'Q13751')"
"('Q96EP0', 'P54259')"
"('Q92466', 'Q13547')"
"('Q15078', 'Q14CS0')"
"('Q9UQ90', 'Q5UIP0')"
"('P58012', 'Q96EB6')"
"('Q13263', 'Q9Y6K9')"
"('P62995', 'Q08170')"
"('Q9NZT1', 'P46019')"
"('O00574', 'P63096')"
"('Q13535', 'Q86VP6')"
"('Q15424', 'O95870')"
"('Q16513', 'Q13459')"
"('P10275', 'Q9Y4C1')"
"('P56748', 'O14493')"
"('Q9UPT9', 'Q9H9J2')"
"('Q14565', 'P27694')"
"('Q7Z3Z4', 'Q9UPY3')"
"('Q9Y2Q3', 'P39656')"
"('Q14525', 'Q05084')"
"('P62993', 'Q92934')"
"('P09001', 'Q14197')"
"('P25098', 'P13945')"
"('Q92956', 'Q9Y3U8')"
"('O14576', 'O43809')"
"('O60244', 'P00519')"
"('O95819', 'O43318')"
"('P42338', 'O15530')"
"('P45984', 'P30305')"
"('P50395', 'P40337')"
"('Q14790', 'O00571')"
"('Q9Y3U8', 'P46778')"
"('P50570', 'O14576')"
"('P02545', 'Q99459')"
"('P34897', 'Q14197')"
"('P06493', 'Q92993')"
"('P02545', 'Q13573')"
"('Q9NPI8', 'Q00597')"
"('P04844', 'P22392')"
"('P27361', 'Q9BVL2')"
"('O95782', 'Q9Y6I3')"
"('Q13761', 'P06239')"
"('P35612', 'P06241')"
"('Q15759', 'P15336')"
"('Q15911', 'Q9Y6X2')"
"('P15153', 'Q9Y4W6')"
"('P32121', 'Q6IF99')"
"('P62140', 'P54289')"
"('Q13607', 'P38405')"
"('Q6AI08', 'Q13884')"
"('Q13683', 'P21333')"
"('O60506', 'Q10586')"
"('P14780', 'Q99075')"
"('P01106', 'P48444')"
"('O15530', 'Q9H8T0')"
"('Q86U86', 'Q8TAQ2')"
"('P56856', 'O75508')"
"('O60341', 'O95863')"
"('O75832', 'P62993')"
"('O14974', 'O75909')"
"('P68104', 'Q96RG2')"
"('Q14164', 'Q9Y3A5')"
"('Q9H2G2', 'P53350')"
"('P51817', 'P61586')"
"('Q52LW3', 'Q07890')"
"('P27540', 'P14625')"
"('P01588', 'Q5VWK5')"
"('Q15126', 'Q00169')"
"('P45984', 'Q12778')"
"('P19012', 'Q14533')"
"('P25208', 'P27797')"
"('O60566', 'Q9UI95')"
"('P12931', 'Q9Y4D1')"
"('Q9H5J8', 'Q15910')"
"('Q6GTX8', 'P29350')"
"('P17301', 'P05106')"
"('Q68EM7', 'O14745')"
"('Q13164', 'Q8N122')"
"('P46776', 'P61313')"
"('Q09472', 'Q99814')"
"('P13498', 'Q8NFA2')"
"('Q14566', 'Q08945')"
"('Q14188', 'Q15329')"
"('O96013', 'Q15746')"
"('Q6P1J9', 'P23193')"
"('P84022', 'Q9Y2U8')"
"('P05386', 'O95989')"
"('P18031', 'Q03135')"
"('P51817', 'P42263')"
"('P98172', 'P00533')"
"('Q9Y572', 'P42677')"
"('Q96EY1', 'P11142')"
"('P01579', 'Q99665')"
"('P35222', 'P18206')"
"('P49790', 'Q8NFH3')"
"('Q9Y4K3', 'P62750')"
"('Q13177', 'P45985')"
"('Q13118', 'Q96BZ8')"
"('Q01344', 'P62993')"
"('Q9NWZ3', 'O14836')"
"('P21815', 'P05106')"
"('O43918', 'P17844')"
"('P49336', 'Q71SY5')"
"('P0DJD1', 'O60260')"
"('P50552', 'P08648')"
"('Q08211', 'Q14191')"
"('P26368', 'Q7Z7J5')"
"('Q6P2C8', 'Q9UHV7')"
"('P43686', 'O75832')"
"('O14775', 'Q9UBY5')"
"('O43236', 'Q9UKE5')"
"('O95467', 'P34897')"
"('P60568', 'Q08334')"
"('P43243', 'Q9UNY4')"
"('P25942', 'Q13114')"
"('P02458', 'P05106')"
"('Q9NS56', 'Q9Y385')"
"('Q13573', 'P51843')"
"('P16298', 'Q13469')"
"('Q92629', 'P18146')"
"('P21675', 'P49848')"
"('Q9BZR9', 'O14933')"
"('Q9UHC9', 'P20823')"
"('P24941', 'Q9UJX6')"
"('P53778', 'Q06413')"
"('Q9UBU8', 'Q13573')"
"('P32121', 'Q8NHB1')"
"('O60729', 'P30260')"
"('Q8N715', 'Q15834')"
"('Q9UL18', 'P36542')"
"('P20936', 'P62993')"
"('Q9Y5V3', 'Q9Y678')"
"('P46940', 'P01106')"
"('P01876', 'P25054')"
"('P35222', 'O75717')"
"('Q9UBN6', 'O75083')"
"('O60884', 'P00533')"
"('O15126', 'P04637')"
"('Q5UE93', 'Q7LC44')"
"('P18124', 'P42766')"
"('P40337', 'P29401')"
"('P61927', 'P83881')"
"('Q9UJS0', 'Q9BQ83')"
"('Q9UPT9', 'Q9H0E3')"
"('Q13315', '84717')"
"('Q96LZ3', 'P27482')"
"('P16333', 'Q9UMN6')"
"('O15357', 'Q8IV36')"
"('P06576', 'Q9Y6K9')"
"('O96019', 'Q9H9F9')"
"('Q969G3', 'P24864')"
"('Q92747', 'P42768')"
"('Q8TBN0', 'Q96QF0')"
"('P05412', 'P35222')"
"('P23258', 'P49841')"
"('Q9UBN7', 'O95201')"
"('Q13131', 'O00418')"
"('Q9H4B7', 'Q6PEY2')"
"('P09651', 'P06730')"
"('P35222', 'Q8NC51')"
"('Q13315', 'Q96PK6')"
"('Q99459', 'P86790')"
"('Q8IV45', 'P51617')"
"('Q96I34', 'Q96B86')"
"('P08123', 'Q13797')"
"('P41159', 'P26951')"
"('Q6WCQ1', 'P80723')"
"('P98175', 'Q12926')"
"('O15264', 'P60842')"
"('Q07889', 'Q13813')"
"('Q13435', 'Q9H7E9')"
"('Q96DZ1', 'P19438')"
"('P06681', 'P0C0L4')"
"('P18146', 'Q00887')"
"('P35221', 'P14923')"
"('P23508', 'P41252')"
"('O15111', 'P38646')"
"('P62633', 'O00425')"
"('P08572', 'P18084')"
"('P42858', 'Q9Y2X7')"
"('Q9GZM8', 'Q9NS73')"
"('Q01196', 'Q9Y4K3')"
"('P67775', 'Q15173')"
