negatives
"('Q99759', 'Q9BV68')"
"('Q9Y2U5', 'Q9BPZ7')"
"('Q01094', 'P11021')"
"('Q8WTR4', 'Q06830')"
"('Q9NX58', 'Q6P158')"
"('P05787', 'P08729')"
"('P13747', 'Q96I34')"
"('Q8WWI1', 'Q99459')"
"('P68400', 'P09038')"
"('Q04206', 'P17544')"
"('Q00987', 'P25098')"
"('P60953', 'P53779')"
"('P10644', 'Q9BSF0')"
"('Q00535', 'P38936')"
"('P13805', 'Q9Y328')"
"('Q15404', 'Q9NPH0')"
"('Q6ZVK8', 'O94972')"
"('P13591', 'O15394')"
"('P11940', 'Q14240')"
"('O96014', 'O75084')"
"('Q16512', 'Q8TAA9')"
"('P27694', 'P67870')"
"('P30793', 'O60684')"
"('P27816', 'P49841')"
"('Q9BQ66', 'O75791')"
"('Q13075', 'P29466')"
"('P63104', 'P04183')"
"('Q9NWZ3', 'O43187')"
"('Q9Y250', 'Q9Y535')"
"('P80162', 'P51685')"
"('P51817', 'P46019')"
"('Q12824', 'O95257')"
"('Q92769', 'Q13573')"
"('Q5T3J3', 'P30519')"
"('P04637', 'P50453')"
"('O15042', 'Q13573')"
"('Q07817', 'Q12983')"
"('P29353', 'Q9HBG4')"
"('Q9BQY4', 'Q15038')"
"('P62993', 'O43175')"
"('P27694', 'Q14191')"
"('P13612', 'Q9HBI1')"
"('P46779', 'P46776')"
"('P21796', 'Q9Y266')"
"('P20366', 'Q8TER5')"
"('P40818', 'Q9Y3E7')"
"('P29692', 'Q9UET6')"
"('P63098', 'Q14934')"
"('Q15185', 'P23508')"
"('P10275', 'P41235')"
"('P10767', 'P29317')"
"('P62877', 'P49918')"
"('Q96PU5', 'P10721')"
"('Q14790', 'P60602')"
"('Q15052', 'P36897')"
"('P50570', 'P09429')"
"('Q9UBF6', 'P67870')"
"('P25054', 'Q96GD4')"
"('P12111', 'Q9UKX5')"
"('Q01094', 'Q9UNS1')"
"('O94826', 'Q7Z434')"
"('Q99880', 'P21675')"
"('5512', 'Q12972')"
"('P08575', 'P07948')"
"('Q9P031', 'Q9Y4K3')"
"('P31751', 'P14672')"
"('P60953', 'P19525')"
"('P49841', 'Q15828')"
"('Q99684', 'Q13547')"
"('P11802', 'Q9NS64')"
"('Q96GF1', 'P61077')"
"('Q99942', 'Q9P055')"
"('Q14781', 'P35226')"
"('P98082', 'P98164')"
"('Q96NW7', 'Q8WXI2')"
"('P35712', 'P56645')"
"('Q96P09', 'P61077')"
"('P46777', 'O15297')"
"('P49662', 'Q9BVK8')"
"('P21817', 'P16333')"
"('Q04917', 'Q9BYG5')"
"('Q9HCE7', 'O43187')"
"('P60510', 'Q66LE6')"
"('O15111', 'P01375')"
"('P12004', 'P54278')"
"('P18440', 'P41227')"
"('P28482', 'Q53H76')"
"('Q12834', 'O95997')"
"('O95490', 'Q9Y566')"
"('P83731', 'P32243')"
"('P17028', 'Q9NX65')"
"('O00422', 'Q9H307')"
"('Q13428', 'P12004')"
"('Q9NPF4', 'Q5VU43')"
"('Q92466', 'P38936')"
"('P08047', 'Q92769')"
"('Q9BYW2', 'P54253')"
"('Q9Y3C5', 'Q03468')"
"('A6NHL2', 'O14576')"
"('Q8WXH5', 'Q8IU57')"
"('2310', 'P06493')"
"('P16104', 'P11388')"
"('O75533', 'Q13435')"
"('Q13489', 'P61077')"
"('P51817', 'Q01668')"
"('Q9NX76', 'Q9UBC3')"
"('P32121', 'Q8NGL6')"
"('Q13616', 'Q9UKB1')"
"('P60880', 'P32856')"
"('Q9H6E5', 'O95639')"
"('P21926', 'P13987')"
"('Q99684', 'P38936')"
"('Q00653', 'P62847')"
"('P49674', 'P98177')"
"('406906', 'P30825')"
"('O60566', 'Q9UJX6')"
"('Q96L91', 'O95619')"
"('Q9Y2Q3', 'Q8WVX9')"
"('O15514', 'P19387')"
"('Q9Y316', 'Q9NRI5')"
"('Q99459', 'Q92974')"
"('O43847', 'Q8IY92')"
"('Q9UBP0', 'P02768')"
"('P47712', 'P60903')"
"('Q9C005', 'Q9Y5Z7')"
"('P13637', 'Q6P1N9')"
"('Q92608', 'P62745')"
"('Q16619', 'Q01344')"
"('P78536', 'Q99075')"
"('P08047', 'O76082')"
"('P58876', 'P0C5Z0')"
"('Q9Y2W1', 'Q15654')"
"('O14610', 'P27361')"
"('P62993', 'Q16658')"
"('P19419', 'P11831')"
"('Q9NWT6', 'Q8TES7')"
"('Q93062', 'P54259')"
"('Q8WZA2', 'P61224')"
"('Q01780', 'Q14160')"
"('P29590', 'Q00987')"
"('P07948', 'P0CG47')"
"('P61978', 'Q9BTD8')"
"('P62910', 'P61927')"
"('P05412', 'P19838')"
"('P26373', 'Q9UHD2')"
"('Q96A65', 'Q9UHD2')"
"('P84098', 'P30050')"
"('Q9BRK4', 'P35222')"
"('P48378', 'P12980')"
"('28934', 'P28749')"
"('O00255', 'Q9H4W6')"
"('P35225', 'P10912')"
"('O14775', 'O95622')"
"('P00748', 'Q9NPY3')"
"('Q9ULZ3', 'Q86W26')"
"('P83916', 'Q13315')"
"('Q13485', 'P50616')"
"('P20702', 'Q14773')"
"('P25942', 'O15294')"
"('Q99459', 'Q12874')"
"('P04406', 'Q15382')"
"('Q9UQM7', 'Q14524')"
"('O15457', 'O43196')"
"('O60216', 'Q8WVM7')"
"('P01602', 'Q8IY92')"
"('Q9HCU8', 'Q15054')"
"('P18146', 'O43566')"
"('P42345', 'Q05655')"
"('O15379', 'P50402')"
"('O43610', 'Q07889')"
"('Q9UNH5', 'Q9NYG5')"
"('Q16531', 'Q9BW61')"
"('Q15811', 'P68104')"
"('O00483', 'O95168')"
"('P21953', 'Q9UER7')"
"('Q13568', 'P15822')"
"('O95832', 'Q16625')"
"('P60953', 'P56945')"
"('Q9UHD2', 'Q9UKV8')"
"('Q00653', 'P51532')"
