negatives
"('Q8NAT1', 'P05067')"
"('Q06265', 'Q96IZ7')"
"('Q13227', 'P62699')"
"('P11279', 'P09651')"
"('P48431', 'Q9UKA4')"
"('Q96CS7', 'P62987')"
"('P35900', 'Q96KQ4')"
"('Q9Y3E0', 'P14923')"
"('O94983', 'P0DP24')"
"('Q8IYS1', 'Q9BVN2')"
"('Q12768', 'P35244')"
"('Q92547', 'P36873')"
"('Q86WR0', 'Q15637')"
"('Q9Y4P8', 'O94817')"
"('Q709F0', 'Q8IZU1')"
"('Q96HE7', 'Q969G2')"
"('Q2MV58', 'Q14165')"
"('Q14CN4', 'Q7Z3Y8')"
"('P32245', 'P01189')"
"('A6NM03', 'O60262')"
"('Q02543', 'P18124')"
"('P06702', 'Q00005')"
"('P26842', 'Q8TBA6')"
"('Q7Z4Q2', 'P50502')"
"('Q9Y397', 'Q6UXL0')"
"('P51452', 'P45984')"
"('P09234', 'Q9GZQ8')"
"('Q14160', 'Q8TES7')"
"('Q86WV6', 'O94826')"
"('Q13547', 'Q09472')"
"('O14498', 'P34059')"
"('P61962', 'Q96CS3')"
"('Q53EZ4', 'Q9NP87')"
"('P38398', 'O94993')"
"('P11177', 'Q99714')"
"('P05000', 'P42701')"
"('P62993', 'Q15750')"
"('Q9Y337', 'Q71U36')"
"('Q9UKV0', 'P0C1H6')"
"('Q9UGJ0', 'Q9BRX9')"
"('P01568', 'Q8IU57')"
"('A6NC98', 'P20700')"
"('Q14999', 'P06748')"
"('Q8IUC1', 'Q5T7P2')"
"('Q9NSE2', 'P10912')"
"('P27708', 'P33993')"
"('Q6PII3', 'Q8IYW5')"
"('P78371', 'O75147')"
"('Q07021', 'Q96GG9')"
"('Q16594', 'Q14839')"
"('O75431', 'Q13505')"
"('P09874', 'Q9UBU9')"
"('Q9UHJ3', 'Q96FJ2')"
"('Q9NRZ9', 'Q5S007')"
"('Q8TAP6', 'O95835')"
"('Q8IYS1', 'O75695')"
"('Q9Y4X3', 'P46092')"
"('P23368', 'Q9H4A3')"
"('P30041', 'P35270')"
"('Q8N122', 'Q9P244')"
"('O43390', 'O43143')"
"('P05067', 'Q155Q3')"
"('P27694', 'Q9UNS1')"
"('P01106', 'Q07021')"
"('Q15291', 'Q6ZW49')"
"('P51965', 'P54253')"
"('Q9UJU2', 'P40126')"
"('Q969X5', 'Q15022')"
"('O00541', 'Q96DB2')"
"('Q12873', 'Q16891')"
"('P18583', 'P40337')"
"('Q01082', 'Q504Q3')"
"('Q15370', 'Q9H8Y8')"
"('P35637', 'P15927')"
"('Q00610', 'Q9H444')"
"('O75582', 'P08238')"
"('O43257', 'Q6ZRS2')"
"('O60244', 'Q9UPN7')"
"('P61247', 'P35268')"
"('P12956', 'A1L0T0')"
"('Q13347', 'P20042')"
"('O43824', 'Q9BU02')"
"('Q00526', 'O75360')"
"('Q05516', 'P49639')"
"('Q9BXW9', 'Q8TDG4')"
"('P11177', 'O14949')"
"('P31751', 'P23945')"
"('Q9HCE7', 'P23588')"
"('Q9BVW6', 'Q9UMX0')"
"('Q7L0J3', 'P14921')"
"('P22612', 'Q9NZP0')"
"('P40429', 'P62906')"
"('P05771', 'P50151')"
"('P05187', 'Q5T754')"
"('P01106', 'Q01850')"
"('Q9NYN1', 'P05067')"
"('Q13470', 'P27348')"
"('O14640', 'Q96LK0')"
"('P82921', 'Q13595')"
"('P01106', 'P38936')"
"('O00483', 'Q16740')"
"('Q15059', 'P0C0S5')"
"('O43741', 'P02810')"
"('P06753', 'Q8IYE0')"
"('Q96GS4', 'Q66GS9')"
"('P60568', 'Q04864')"
"('Q96J88', 'P12830')"
"('Q15020', 'Q92905')"
"('P00533', 'Q92569')"
"('O75161', 'Q9Y283')"
"('P62879', 'P29992')"
"('Q8TCT6', 'Q14CS0')"
"('P82912', 'P05412')"
"('Q5TCZ1', 'Q9NQC3')"
"('Q9NRW1', 'O00165')"
"('P05067', 'Q9NWW6')"
"('Q86YD7', 'Q99750')"
"('Q96GM5', 'Q5UIP0')"
"('Q16643', 'Q8WUM0')"
"('P13500', 'P51679')"
"('Q13315', 'P13637')"
"('Q8NC51', 'Q8N2W9')"
"('Q9Y250', 'Q9NVU0')"
"('Q06587', 'Q969R5')"
"('Q16831', 'Q969T9')"
"('Q9H1A3', 'Q8N0V5')"
"('P35580', 'P10916')"
"('P54851', 'Q6IQ23')"
"('P63279', 'P57740')"
"('P63151', 'Q8WXS5')"
"('Q15014', 'Q14974')"
"('P62888', 'P61353')"
"('Q96TA1', 'P01116')"
"('O15355', 'Q14974')"
"('P49406', 'Q13084')"
"('O95292', 'P04844')"
"('Q9NUA8', 'Q13642')"
"('Q9Y333', 'P09661')"
"('Q96NY8', 'P55196')"
"('O15127', 'P51674')"
"('Q8IWL3', 'O14545')"
"('O43542', 'Q9NRM2')"
"('Q9UQB3', 'P49768')"
"('Q9UMS4', 'P09661')"
"('P61221', 'Q8NA72')"
"('P34947', 'P53677')"
"('Q6ZN17', 'Q92905')"
"('P16333', 'P51116')"
"('O75140', 'Q96IQ9')"
"('Q9NRD5', 'Q9NVR0')"
"('Q13489', 'P29965')"
"('P67870', 'Q15418')"
"('Q8WW24', 'Q8TBB1')"
"('P09661', 'Q9Y3B4')"
"('Q9Y5T4', 'Q8IZU0')"
"('P34969', 'P63215')"
"('P01106', 'Q9BRY0')"
"('Q5PSV4', 'Q9H160')"
"('Q13224', 'Q9UGL1')"
"('P07996', 'P30988')"
"('P11137', 'P31323')"
"('O15162', 'Q9Y272')"
"('P78527', 'P10827')"
"('P05067', 'Q7Z3T8')"
"('P33992', 'P15924')"
"('P61964', 'Q8WUM4')"
