negatives
"('P18850', 'Q68CJ9')"
"('Q05513', 'P35568')"
"('Q9H8T0', 'P00966')"
"('Q15029', 'O75643')"
"('P04626', 'P15498')"
"('P52907', 'Q99759')"
"('P01138', 'P22607')"
"('Q9Y478', 'P17980')"
"('P19022', 'Q15262')"
"('P41221', 'Q14332')"
"('P22694', 'Q16539')"
"('P36544', 'O60674')"
"('Q04724', 'Q9UN74')"
"('Q9UBN7', 'Q12834')"
"('Q96ED9', 'Q7L590')"
"('P53667', 'Q9Y281')"
"('P62942', 'P21817')"
"('O00213', 'P51693')"
"('Q676U5', 'Q8IZQ1')"
"('O94874', 'Q9Y5J5')"
"('Q9Y385', 'Q9UBV2')"
"('P62834', 'P42338')"
"('Q13123', 'Q96N46')"
"('P62330', 'Q9BT78')"
"('P17947', 'P08311')"
"('Q0VG06', 'Q14469')"
"('Q01094', 'Q16654')"
"('O43524', 'Q16828')"
"('P60709', 'P45880')"
"('P49005', 'Q96S55')"
"('Q08188', 'Q8IY92')"
"('Q6WCQ1', 'P52735')"
"('Q99942', 'P61077')"
"('Q96SB3', 'P62136')"
"('P47224', 'O43504')"
"('O75717', 'P35222')"
"('O43143', 'Q96I25')"
"('P63000', 'P27986')"
"('Q02779', 'P42684')"
"('P10643', 'P07358')"
"('P04628', 'P46531')"
"('Q15750', 'O43541')"
"('P68366', 'P16871')"
"('Q06587', 'O14933')"
"('P35228', 'Q99612')"
"('Q15369', 'Q15345')"
"('Q9P0T4', 'P41227')"
"('P62487', 'Q8N7H5')"
"('P61106', 'Q9HAU4')"
"('P05023', 'P00533')"
"('Q93062', 'Q15038')"
"('P53803', 'O95602')"
"('P19105', 'O60739')"
"('P52798', 'P07333')"
"('P01011', 'P51124')"
"('P29622', 'P20936')"
"('O96017', 'O95997')"
"('P51828', 'P51817')"
"('P63208', 'Q9UKT8')"
"('P01106', 'Q8WW01')"
"('Q14974', 'P52298')"
"('Q9UQK1', 'Q9UD71')"
"('P01106', 'O00124')"
"('P43487', 'P16035')"
"('Q9NTI5', 'Q7Z5K2')"
"('P08833', 'P01344')"
"('P12814', 'P09467')"
"('P19438', 'P19838')"
"('Q9Y6K9', 'Q9UHB6')"
"('Q8NAV1', 'Q8IWX8')"
"('P41231', 'Q08722')"
"('P38936', 'Q12766')"
"('P61952', 'P28482')"
"('Q9H8T0', 'P58546')"
"('P49354', 'O75365')"
"('Q15788', 'Q15036')"
"('P19388', 'O00445')"
"('Q14188', 'P62258')"
"('P63096', 'P27986')"
"('Q9UD71', 'P41236')"
"('Q99933', 'Q9Y618')"
"('P30050', 'Q9Y3U8')"
"('P22694', 'P40145')"
"('Q9H7U1', 'P46100')"
"('O14939', 'Q8N122')"
"('P27824', 'P19438')"
"('P21796', 'P23508')"
"('Q5D1E8', 'Q92844')"
"('P51451', 'P22681')"
"('P52435', 'Q9HCS7')"
"('P01889', 'P43632')"
"('Q8WUI4', 'P20671')"
"('Q9Y6D6', 'O75365')"
"('P84022', 'P50616')"
"('P25786', 'P51946')"
"('P12755', 'Q09472')"
"('Q8N109', 'O43914')"
"('P31749', 'P0CG47')"
"('Q15102', 'P61956')"
"('P13569', 'P10809')"
"('Q6NV75', 'Q9Y4A5')"
"('Q12834', 'Q9UBN7')"
"('P01308', 'P35916')"
"('Q9UBL3', 'Q9C005')"
"('O60934', 'Q13185')"
"('Q15256', 'O15264')"
"('P11171', 'P84022')"
"('O14640', 'Q9HAU4')"
"('Q13315', 'O15360')"
"('P01112', 'P48736')"
"('P12956', 'Q07812')"
"('Q9UNK0', 'O15400')"
"('P05013', 'P24394')"
"('Q8TBB1', 'P32321')"
"('Q09472', 'P36402')"
"('Q5VZM2', 'Q9Y2Q5')"
"('P04141', 'P32927')"
"('P12107', 'P26012')"
"('Q15796', 'Q96PU5')"
"('Q9H0E9', 'Q9Y265')"
"('Q14164', 'Q15078')"
"('P08754', 'P53778')"
"('Q8TDG2', 'Q9ULL4')"
"('P00519', 'Q9Y6Q9')"
"('442911', 'P15018')"
"('P07437', 'P19438')"
"('Q9UI14', 'Q9UL26')"
"('P35221', 'P49715')"
"('P35626', 'Q96RD3')"
"('O00159', 'Q99759')"
"('Q9NZT1', 'Q8IY92')"
"('Q9BTY7', 'Q9H3H1')"
"('P61086', 'P30480')"
"('Q13464', 'P30304')"
"('P19838', 'O60658')"
"('P32121', 'O00574')"
"('P43146', 'P63173')"
"('Q9HCP0', 'Q13422')"
"('P84022', 'P11926')"
"('P04792', 'P13569')"
"('Q13064', 'P68036')"
"('P45379', 'P63316')"
"('P32298', 'P35372')"
"('P18124', 'Q00653')"
"('Q12986', 'Q8IX12')"
"('P35251', 'Q9HCU8')"
"('Q9UKV8', 'O94776')"
"('Q96KM6', 'Q9BRK4')"
"('P10276', 'Q9NPJ4')"
"('Q13191', 'P40238')"
"('O95819', 'O00571')"
"('P00533', 'P46108')"
"('Q9P2G9', 'Q13257')"
"('O60262', 'P53778')"
"('Q70Z53', 'Q8N5F7')"
"('Q13753', 'P18564')"
"('Q14686', 'Q92793')"
"('Q13200', 'P48556')"
"('Q86Y13', 'Q5VVX9')"
"('P43250', 'P25116')"
"('O75143', 'Q9UHD2')"
"('P03915', 'O95168')"
"('P40225', 'P38484')"
"('Q8TEW0', 'Q3V6T2')"
"('Q96PB7', 'Q99972')"
"('P07384', 'Q14494')"
"('P22694', 'Q02750')"
"('Q8N720', 'P43364')"
"('Q9Y5X9', 'Q9NQT4')"
"('P45985', 'Q9P2G9')"
"('P48454', 'O00238')"
"('P19387', 'O95402')"
"('Q13191', 'Q5VWK5')"
"('P08729', 'Q15149')"
"('Q99623', 'P14923')"
"('P62873', 'P50151')"
"('Q9H3U5', 'P61026')"
"('P23528', 'Q12792')"
"('P52292', 'Q93009')"
"('Q8WTQ7', 'P46094')"
"('Q8TBB1', 'P61106')"
"('P60568', 'P13010')"
"('P68543', 'P07108')"
"('Q15428', 'Q8IWZ8')"
"('P04632', 'P13569')"
"('Q8N5R6', 'Q96KQ7')"
"('O15105', 'O14640')"
"('Q9P0W0', 'Q01113')"
"('Q9Y2R2', 'P09619')"
"('Q8WXG9', 'Q13402')"
"('Q7Z4P5', 'Q16671')"
"('Q13418', 'Q6R327')"
"('P37173', 'P30154')"
"('Q92574', 'O75807')"
"('Q04206', 'P04350')"
"('Q05397', 'P12931')"
"('Q06323', 'Q92979')"
"('Q13569', 'Q09472')"
"('O75448', 'O95402')"
"('Q03135', 'P26010')"
"('O75578', 'P21333')"
"('Q00610', 'Q14164')"
"('Q9UGJ1', 'Q9NY65')"
"('Q05519', 'Q13573')"
"('P62269', 'P60866')"
"('P28290', 'Q9Y383')"
"('Q9UBW7', 'P63279')"
"('Q70SY1', 'Q9UDV6')"
"('P61769', 'Q15853')"
"('P25963', 'P63261')"
"('Q9UBL3', 'O00255')"
"('P22234', 'Q9Y3A3')"
"('P29992', 'O15496')"
"('P18887', 'P68400')"
"('Q13547', 'P29350')"
"('P62913', 'P61353')"
"('Q92529', 'P12931')"
"('Q13315', 'P14923')"
"('O14929', 'P84243')"
"('P62826', 'P36897')"
"('P08913', 'Q9Y210')"
"('Q9BW83', 'Q9Y547')"
"('Q13546', 'P62829')"
"('Q9P0M6', 'Q7Z2G1')"
"('O75448', 'Q9Y4A5')"
"('O15379', 'O60566')"
"('P34969', 'P63211')"
"('P16520', 'Q8NFM4')"
"('Q71UI9', 'Q92769')"
"('O75947', 'P18146')"
"('O14904', 'Q9H1J7')"
"('Q9NYN1', 'O00238')"
"('P30153', 'P23508')"
"('Q9NPB6', 'Q15147')"
"('O15379', 'Q7L2E3')"
"('O15111', 'O95163')"
"('P62847', 'P62857')"
"('Q6WCQ1', 'Q3ZCQ8')"
"('Q14197', 'Q04837')"
"('P19793', 'Q07869')"
"('P21802', 'Q07890')"
"('Q8N1C3', 'O95166')"
"('Q9UBY5', 'P16520')"
"('P29372', 'P43487')"
"('P31994', 'Q8N149')"
"('P51452', 'P01889')"
"('Q13976', 'O43889')"
"('P01023', 'Q92956')"
"('P51398', 'P19174')"
"('P16885', 'Q15139')"
"('Q9UL18', 'O15160')"
"('Q14690', 'P01106')"
"('P23508', 'Q08257')"
"('O75363', 'Q96QB1')"
"('O75928', 'Q8IVL1')"
"('P42345', 'Q9BPZ7')"
"('P00492', 'Q9Y478')"
"('Q9BRX2', 'Q9H583')"
"('Q14498', 'O75400')"
"('Q9NW64', 'Q9BWF3')"
"('Q86V81', 'P22626')"
"('P27986', 'O15056')"
"('P63104', 'Q99959')"
"('Q9H1Y0', 'Q9BWD1')"
"('P35609', 'P60709')"
"('Q8IYF3', 'Q96HA1')"
"('P13725', 'P42702')"
"('P45983', 'P05412')"
"('Q99459', 'Q9BQL6')"
"('P35221', 'Q86UP0')"
"('P56537', 'Q9BZE4')"
"('O43353', 'Q9NYJ8')"
"('Q4KMG0', 'P00519')"
"('P52272', 'Q04206')"
"('O15350', 'Q96KQ4')"
"('O75508', 'P56880')"
"('Q16795', 'P03901')"
"('Q9NXX6', 'Q8IY18')"
"('Q09028', 'O43463')"
"('Q14161', 'Q9NXL2')"
"('P34931', 'Q99836')"
"('P12694', 'P35609')"
"('P61160', 'Q07890')"
"('Q8N3U4', 'O95072')"
"('Q9Y4K3', 'Q7Z4W1')"
"('Q02241', 'P31947')"
"('P49711', 'P04114')"
"('Q5VVX9', 'Q96K19')"
"('P23458', 'P16471')"
"('O95433', 'Q9Y5H7')"
"('P05412', 'P28562')"
"('Q8IZI9', 'Q01344')"
"('P62993', 'Q13796')"
"('Q15319', 'Q9UBR4')"
"('P06493', 'Q12834')"
"('Q9H2G2', 'O75326')"
"('Q02094', 'Q14773')"
"('Q96FE5', 'Q16620')"
"('P54253', 'Q9Y4E1')"
"('P48736', 'P05023')"
"('P04183', 'Q96NT0')"
"('P06241', 'O14490')"
"('28942', 'Q9HCM9')"
"('P62807', 'Q13547')"
"('Q14164', 'O60506')"
"('P31025', 'P50053')"
"('P49792', 'Q05516')"
"('P49768', 'P16066')"
"('Q9UKV5', 'Q96B02')"
"('O60291', 'Q8WVN8')"
"('P78368', 'P10071')"
"('Q9HB71', 'P01889')"
"('Q07157', 'Q9Y5S2')"
"('Q8NGP4', 'P38405')"
"('P02775', 'P51679')"
"('P15924', 'P13647')"
"('Q8N6K7', 'Q13950')"
"('Q13315', 'Q9H4A3')"
"('Q8TDR0', 'P11142')"
"('O95067', 'P21333')"
"('Q13242', 'P52597')"
"('Q9HBE1', 'P10275')"
"('P56747', 'P56748')"
"('P28066', 'O14818')"
"('O15511', 'O15144')"
"('P41279', 'P38646')"
"('P04278', 'P60981')"
"('Q9Y6B6', 'O94979')"
"('Q99759', 'Q01082')"
"('Q9UK08', 'Q01970')"
"('P08069', 'Q05655')"
"('P00519', 'Q92466')"
"('Q13409', 'Q6PEY2')"
"('Q53TQ3', 'Q9H9F9')"
"('P16333', 'P42566')"
"('Q99436', 'P49720')"
"('O95299', 'O43677')"
"('P41214', 'Q99459')"
"('P57738', 'Q13485')"
"('P01241', 'P60981')"
"('Q99459', 'P68104')"
"('Q86VK4', '145781')"
"('Q9H0J4', 'O95863')"
"('Q96BV0', 'Q9NYL2')"
"('P18124', 'P35268')"
"('Q9UBU8', 'P17480')"
"('O43521', 'P10644')"
"('Q8TEE9', 'Q9NQC3')"
