negatives
"('P53420', 'P13612')"
"('P68871', 'P69905')"
"('Q9Y5K6', 'Q13191')"
"('P19338', 'P06748')"
"('406906', 'Q6P1L5')"
"('Q9UHY1', 'P60763')"
"('P51617', 'O60602')"
"('Q14432', 'Q9Y6D5')"
"('Q13017', 'P17081')"
"('Q9H211', 'Q13416')"
"('Q05513', 'Q9Y4H2')"
"('Q14197', 'Q9Y6M1')"
"('P09661', 'Q9Y2Q3')"
"('Q16236', 'Q6P1K2')"
"('Q01201', 'Q04206')"
"('Q14653', 'P06400')"
"('P51531', 'P51608')"
"('Q16777', 'Q99877')"
"('P40429', 'P30050')"
"('P32519', 'P17535')"
"('P54619', 'Q9UBK2')"
"('Q9NVV9', 'Q9H9D4')"
"('Q00534', 'P24864')"
"('P41219', 'P20700')"
"('P62258', 'P49796')"
"('O75061', 'O95816')"
"('Q13112', 'Q13111')"
"('406947', 'P14921')"
"('P04899', 'P53779')"
"('P42684', 'Q9H204')"
"('P43243', 'Q9NRI5')"
"('O00221', 'P11142')"
"('Q92629', 'Q16586')"
"('Q02817', 'P13569')"
"('P01106', 'Q9NR56')"
"('O75807', 'P35638')"
"('Q9NQX6', 'P22736')"
"('P56192', 'P01889')"
"('O00214', 'P26006')"
"('O95402', 'Q9BQ39')"
"('Q9NWZ3', 'O00206')"
"('Q13114', 'Q9NP84')"
"('Q2M2Z5', 'Q9P209')"
"('P01106', 'Q5VTL8')"
"('P61956', 'Q96JQ0')"
"('P46778', 'P46776')"
"('Q8IYW5', 'P61088')"
"('Q9BVJ6', 'Q15669')"
"('Q8IWI9', 'P61244')"
"('P57088', 'P48039')"
"('P06239', 'Q13094')"
"('P06213', 'Q9ULV8')"
"('Q9BQ83', 'Q15008')"
"('P00492', 'Q9Y478')"
"('Q13554', 'P28482')"
"('P98095', 'Q8N8S7')"
"('Q8IUC6', 'Q8N2W9')"
"('P56880', 'O95500')"
"('P14317', 'P11912')"
"('Q13535', 'Q14980')"
"('Q7Z6A9', 'Q06124')"
"('P63010', 'P09497')"
"('P12882', 'P60709')"
"('P16333', 'Q13023')"
"('P53779', 'P15336')"
"('Q9P2H0', 'P45984')"
"('P62244', 'P62277')"
"('O95619', 'Q9Y4A5')"
"('Q9UHD2', 'O60641')"
"('P49643', 'P09884')"
"('P16471', 'Q15303')"
"('Q15111', 'O00591')"
"('Q9H7B4', 'Q8WVX9')"
"('P26368', 'Q01081')"
"('Q92832', 'Q6UW56')"
"('Q92793', 'Q9Y5Q3')"
"('Q13873', 'Q13976')"
"('P17252', 'Q96BA8')"
"('P46108', 'P80404')"
"('P50579', 'P06493')"
"('Q9NYF8', 'P61981')"
"('Q03405', 'P35080')"
"('P52797', 'P17948')"
"('Q9Y3V2', 'P25963')"
"('O75376', 'P25963')"
"('Q9Y6M9', 'P03923')"
"('P28562', 'P53779')"
"('O75937', 'P26599')"
"('Q8NBZ0', 'Q6P4R8')"
"('P62249', 'Q15843')"
"('P00533', 'P05362')"
"('Q96IF1', 'Q9Y4K3')"
"('O60841', 'P47813')"
"('O14639', 'Q9Y3Q8')"
"('Q13009', 'P01876')"
"('Q9UBU8', 'P0C0S5')"
"('Q04941', 'Q9Y2H0')"
"('Q5VWQ8', 'Q12933')"
"('Q9H1J5', 'O60353')"
"('P50914', 'P05386')"
"('P15336', 'P15407')"
"('P61077', 'Q96BH1')"
"('Q9GZS1', 'Q9H9Y6')"
"('Q53G59', 'P10398')"
"('Q96F07', 'P51114')"
"('P43360', 'Q9NRV9')"
"('Q9P2S5', 'Q9UQE7')"
"('P08514', 'P46109')"
"('Q14191', 'P13010')"
"('Q96BY6', 'Q9H4E5')"
"('P78406', 'Q8NFH5')"
"('Q16787', 'Q496J9')"
"('P55196', 'P63267')"
"('P01562', 'P42702')"
"('O95376', 'P62917')"
"('P12757', 'P35998')"
"('O14966', 'Q9UK45')"
"('Q9Y6X2', 'Q13485')"
"('Q13191', 'Q99961')"
"('Q99856', 'Q16254')"
"('Q92997', 'Q9Y2T1')"
"('P43246', 'P09429')"
"('O43747', 'Q96G01')"
"('Q13472', 'Q9UER7')"
"('Q09472', 'Q02930')"
"('Q7Z333', 'P02787')"
"('Q99909', 'Q9Y2D8')"
"('Q8TAA9', 'O14640')"
"('P50454', 'Q99689')"
"('Q9GZM7', 'P61968')"
"('P05067', 'P11488')"
"('P35372', 'O95467')"
"('P49321', 'Q99877')"
"('P35462', 'P63096')"
"('Q07820', 'P53779')"
"('P30613', 'P10275')"
"('Q00526', 'Q16667')"
"('O75937', 'P01241')"
"('P22681', 'P08631')"
"('A8K6C2', 'P16871')"
"('Q07955', 'P11387')"
"('P62258', 'Q9H4A3')"
"('Q9NPP4', 'Q9ULZ3')"
"('P01876', 'P01700')"
"('P07437', 'Q01201')"
"('Q5MJ70', 'P06493')"
"('Q16619', 'Q9HBE5')"
"('P51817', 'Q13972')"
"('Q14934', 'Q02078')"
"('Q9Y265', 'O75815')"
"('Q07820', 'P10144')"
"('Q9UJX2', 'P06400')"
"('O14543', 'Q06124')"
"('Q96R69', 'P38405')"
"('P06748', 'P19338')"
"('P30480', 'Q13263')"
"('5512', 'P31749')"
"('P35638', 'P11215')"
"('P60520', 'Q9P035')"
"('P52948', 'P49790')"
"('Q13573', 'Q15291')"
"('P10321', 'O43908')"
"('Q9H2V7', 'P99999')"
"('P53602', 'P26641')"
"('P23368', 'P31939')"
"('Q14416', 'P63211')"
"('Q9NRJ4', 'P00519')"
"('Q8TDF6', 'P01116')"
"('Q15906', 'Q9Y4A5')"
"('O76071', 'O94832')"
"('P49841', 'Q9UKY1')"
"('P35462', 'O43491')"
"('P41221', 'Q14332')"
