negatives
"('Q15773', 'Q96T76')"
"('Q6ZSY5', 'P27482')"
"('P22612', 'Q8TD86')"
"('P06454', 'P06493')"
"('P48023', 'P25445')"
"('Q16663', 'P51686')"
"('Q8NAV1', 'Q14498')"
"('Q16594', 'O94864')"
"('O95835', 'Q15942')"
"('P07948', 'Q01362')"
"('Q13263', 'Q14765')"
"('Q9UKW4', 'O95782')"
"('Q13642', 'O00257')"
"('P62829', 'P35268')"
"('P55103', 'Q8NER5')"
"('Q14832', 'P62879')"
"('Q9P0V3', 'P17987')"
"('P30153', 'Q00653')"
"('Q9UJX2', 'Q9UBD5')"
"('P35080', 'P01889')"
"('O00221', 'O60641')"
"('406947', 'Q14164')"
"('P52747', 'Q04206')"
"('Q15843', 'P46778')"
"('P27986', 'P42681')"
"('P04181', 'Q14197')"
"('O95813', 'P56705')"
"('Q96RK0', 'P67870')"
"('P68371', 'Q99459')"
"('P14316', 'Q01167')"
"('Q8N357', 'P49903')"
"('P51817', 'P04899')"
"('Q86V97', 'O95166')"
"('P35579', 'O14950')"
"('P49286', 'P61952')"
"('P23284', 'Q96EQ0')"
"('P47985', 'Q9H8Y8')"
"('O15105', 'Q9H0M0')"
"('P56134', 'P40337')"
"('P61981', 'Q8N122')"
"('Q8N2W9', 'P61086')"
"('P38432', 'Q562R1')"
"('Q9NRR5', 'P10124')"
"('P68871', 'P02008')"
"('Q92835', 'Q7L591')"
"('P78527', 'Q04206')"
"('P0C1H6', 'Q9BTM1')"
"('Q5VTD9', 'P21675')"
"('Q7Z444', 'P16220')"
"('P09471', 'Q9UP65')"
"('P07711', 'P13637')"
"('Q7Z5J4', 'Q13526')"
"('Q96CN9', 'P38432')"
"('Q7L2E3', 'O75376')"
"('Q9HCQ7', 'P00519')"
"('Q86YV5', 'P31947')"
"('P42566', 'P35968')"
"('Q9UKG9', 'Q02750')"
"('P04350', 'Q14155')"
"('Q14197', 'Q9NQ50')"
"('Q14197', 'P82914')"
"('Q9HAU4', 'P07949')"
"('Q13233', 'P18077')"
"('P11233', 'Q96KP1')"
