#tail	head	num_paths
P01589	Q04206	1
Q04206	P15336	1
P01589	P42229	7
P42229	Q99814	3
Q99814	P19419	3
P01589	Q9UL17	1
Q9UL17	P14921	1
P01589	P23771	1
P23771	P15036	1
P42229	P42224	2
P42224	O43524	3
P01589	P32519	1
P32519	P05412	1
P42229	Q13287	3
P42229	P04150	3
P42229	P40763	1
P01589	P51692	1
P14784	P42229	5
P42229	P18031	2
P18031	P15336	2
P14784	P51692	3
P51692	P14921	1
P51692	P15036	2
P14784	P42224	3
P42224	P05412	2
P14784	P40763	1
P31785	P42229	5
P31785	P42226	1
P42226	P14921	1
P31785	P51692	2
P31785	P42224	3
P31785	P40763	1
