negatives
"('Q8IU85', 'Q96NX5')"
"('P05067', 'Q9P0L0')"
"('P22694', 'A6NH00')"
"('Q96GD4', 'P08670')"
"('P56524', 'O00287')"
"('Q01543', 'O95466')"
"('Q8N490', 'Q9UI26')"
"('Q13526', 'Q13422')"
"('P62244', 'Q05086')"
"('Q9H0F5', 'Q86Y13')"
"('Q9GZM8', 'P55197')"
"('O75369', 'O43747')"
"('P55318', 'P06400')"
"('P22681', 'Q05397')"
"('Q16531', 'O15379')"
"('P34932', 'Q13546')"
"('Q9UPY6', 'Q96F07')"
"('Q86YP4', 'Q99459')"
"('P68400', 'P27824')"
"('P08700', 'Q99665')"
"('Q5VTD9', 'P38398')"
"('P55769', 'Q9Y5B9')"
"('Q9UET6', 'P99999')"
"('Q12926', 'Q86SE5')"
"('Q6ZMK1', 'P16401')"
"('P35222', 'P63146')"
"('Q13426', 'Q9H8G2')"
"('P29034', 'P15514')"
"('Q15006', 'Q86UK5')"
"('Q9Y2V2', 'P04792')"
"('O95859', 'Q00604')"
"('Q96EZ4', 'Q9NRG1')"
"('Q9H1J1', 'Q96Q15')"
"('Q9UKB1', 'P78406')"
"('Q7L775', 'Q8N137')"
"('P25963', 'P68036')"
"('Q13618', 'P48507')"
"('P18754', 'P62826')"
"('Q9P0K8', 'Q16656')"
"('P42568', 'Q9NXW9')"
"('P18583', 'Q7Z3H4')"
"('Q15051', 'Q9BUF5')"
"('P53539', 'Q92793')"
"('Q9UI14', 'Q00765')"
"('Q9UQM7', 'O43306')"
"('P51572', 'O96000')"
"('P68104', 'Q15486')"
"('Q969X5', 'Q15363')"
"('O95373', 'Q9Y275')"
"('Q9UL18', 'Q9H2U1')"
"('O75530', 'Q96A72')"
"('Q96HS1', 'P04629')"
"('P59797', 'Q6ZW49')"
"('Q9H492', 'P62993')"
"('P42680', 'Q8WV28')"
"('P05187', 'P49639')"
"('Q9H0E2', 'P36897')"
"('O95721', 'O75379')"
"('P07550', 'P41143')"
"('P62993', 'P52292')"
"('Q13547', 'P42336')"
"('Q9UII2', 'O00584')"
"('P40763', 'Q03181')"
"('O75112', 'P02768')"
"('Q9UNN5', 'P55055')"
"('Q9NRD1', 'P22102')"
"('Q15973', 'Q8TF50')"
"('P61968', 'Q2NL98')"
"('P83369', 'Q9NWT6')"
"('P06493', 'Q9UJ70')"
"('Q03188', 'P06748')"
"('Q86WV6', 'P39656')"
"('Q9Y221', 'Q9BQ04')"
"('P61764', 'Q9Y597')"
"('Q99460', 'P62857')"
"('Q15303', 'Q92569')"
"('Q9GZZ1', 'Q9UKY7')"
"('P00519', 'Q99638')"
"('Q9HCK5', 'P60709')"
"('P36406', 'P22314')"
"('Q9UPT9', 'Q16778')"
"('P49459', 'O14929')"
"('Q8N5M4', 'Q8N6Y0')"
"('O43292', 'Q9UL03')"
"('Q7L014', 'Q12874')"
"('O60506', 'P05362')"
"('Q49AN0', 'P42704')"
"('O14777', 'P34897')"
"('P48047', 'Q9Y6M9')"
"('P62899', 'P49411')"
"('Q16619', 'Q9UHF4')"
"('O60232', 'Q9P2S5')"
"('P33552', 'P38936')"
"('P18440', 'Q5S007')"
"('P35268', 'O60739')"
"('Q9UNE7', 'P61077')"
"('P12270', 'Q92804')"
"('Q8IUQ4', 'Q2TAL8')"
"('Q9NTI5', 'O75530')"
"('O43172', 'Q9H6R0')"
"('Q9BUN8', 'P10412')"
"('P07437', 'P17302')"
"('Q96MF7', 'Q8WV22')"
"('O43765', 'P01282')"
"('P62277', 'Q9BQG0')"
"('Q8NBJ4', 'P00533')"
"('P13010', 'Q9NYB0')"
"('P39023', 'P38919')"
"('P40337', 'O75716')"
"('P22681', 'P62316')"
"('O75569', 'Q13428')"
"('Q92622', 'P31946')"
"('Q9UHG0', 'Q9P000')"
"('P10071', 'P12755')"
"('Q8IU60', 'Q92841')"
"('P22695', 'Q92526')"
"('Q8TE02', 'Q7L0Q8')"
"('P48643', 'Q09666')"
"('P46777', 'Q8IZH2')"
"('Q6UY14', 'Q9Y467')"
"('Q9UBB5', 'Q9ULU4')"
"('O75934', 'O43482')"
"('P43686', 'Q16659')"
