negatives
"('Q9GZW8', 'P35914')"
"('P0C5Y9', 'Q92769')"
"('Q9UI09', 'O95299')"
"('Q13442', 'P09619')"
"('P10301', 'P28482')"
"('P01106', 'P46060')"
"('Q13247', 'Q15366')"
"('O95433', 'O15085')"
"('Q9H1J7', 'P41221')"
"('P08047', 'P48506')"
"('P63104', 'P46777')"
"('P22694', 'Q16558')"
"('Q9UFN0', 'O95163')"
"('Q8NH73', 'P38405')"
"('Q8NEV4', '145781')"
"('Q9UL03', 'Q14152')"
"('P33076', 'Q92793')"
"('Q15628', 'O00463')"
"('P62834', 'Q92569')"
"('Q7L2H7', 'O00303')"
"('P30504', 'Q9Y266')"
"('Q9Y312', 'P36382')"
"('A8MT69', 'Q9NPI8')"
"('P10646', 'P08709')"
"('Q86Y56', 'Q9HC98')"
"('O75019', 'P31994')"
"('O00422', 'Q6NXE6')"
"('P31947', 'O95067')"
"('P31152', 'P01225')"
"('Q9H2G2', '9757')"
"('P52756', 'P52272')"
"('Q12873', 'P49641')"
"('P28715', 'Q9NRG0')"
"('P10275', 'Q99801')"
"('P36897', 'P27986')"
"('P14415', 'O00168')"
"('P48740', 'O43639')"
"('P62987', 'O75581')"
"('O00267', 'O14744')"
"('P63244', 'Q8WWY3')"
"('O60814', 'Q9UQL6')"
"('Q9UKV8', 'A7MCY6')"
"('O75019', 'P43405')"
"('Q07157', 'Q13796')"
"('P16220', 'O95185')"
"('Q13158', 'Q9C099')"
"('P27448', 'P0CG48')"
"('Q8TEW0', 'Q15788')"
"('O43318', 'P54646')"
"('Q9BVC4', 'O14920')"
"('P53778', 'P17535')"
"('Q14997', 'P62333')"
"('Q9NS73', 'Q9BT78')"
"('Q3ZCQ8', 'Q05193')"
"('P42338', 'P63000')"
"('P12980', 'P35453')"
"('Q5SXM8', 'P21673')"
"('P01243', 'Q99471')"
"('Q14469', 'Q00597')"
"('P62993', 'P22061')"
"('Q9UBE8', 'Q12778')"
"('Q16539', 'Q02078')"
"('P18850', 'Q68CJ9')"
"('P0CG47', 'P27448')"
"('O14715', 'P61956')"
"('P49841', 'Q9Y600')"
"('P35225', 'Q5VWK5')"
"('P62993', 'Q13796')"
"('P25787', 'P04222')"
"('O43809', 'P40337')"
"('P01106', 'O60762')"
"('Q01196', 'P08246')"
"('P53420', 'P05556')"
"('Q14204', 'P63104')"
"('Q9P035', 'P60520')"
"('Q9H7E9', 'Q5JY77')"
"('Q9HAW0', 'Q96T76')"
"('P23297', 'Q9HB71')"
"('P48454', 'P62158')"
"('P17947', 'Q96RE9')"
"('P62879', 'Q92633')"
"('O43752', 'Q9H270')"
"('O14986', 'Q6YP21')"
"('Q13216', 'P16152')"
"('O95751', 'Q9NY61')"
"('Q9NQX6', 'Q9UDV6')"
"('Q9UKR5', 'Q14164')"
"('P01909', 'P01730')"
"('Q8TEM1', 'Q9UKX7')"
"('Q9NTJ3', 'O95347')"
"('Q13131', 'P16870')"
"('Q8IVF5', 'Q07890')"
"('Q9Y618', 'O15379')"
"('P02768', 'P49619')"
"('Q6NZ67', 'Q96CW5')"
"('P18146', 'Q06609')"
"('P35222', 'P49789')"
"('P56880', 'Q9UDY2')"
"('Q96CF2', 'Q9UN37')"
"('Q92956', 'Q5XKP0')"
"('P61978', 'Q15366')"
"('Q96IP4', 'Q96KS0')"
"('Q13573', 'Q7L5N1')"
"('P13747', 'O15533')"
"('O95273', 'Q9HCZ1')"
"('P15927', 'P35244')"
"('Q969F2', 'Q96BH1')"
"('P05771', 'O14807')"
"('Q9HC44', 'Q9UL03')"
"('P28702', 'Q13547')"
"('Q8WYR1', 'P50570')"
"('P55318', 'P35609')"
"('P02778', 'P51677')"
"('P12956', 'Q8IW19')"
"('Q96BN2', 'Q92830')"
"('Q9Y6N6', 'P26012')"
"('Q9Y2X7', 'O60925')"
"('P04049', 'O15519')"
"('Q05516', 'Q02363')"
"('Q86TA1', 'P49902')"
"('Q9Y376', 'Q9Y478')"
"('Q15102', 'Q13432')"
"('O15524', 'P42701')"
"('P49286', 'P16520')"
"('Q07960', 'Q9HBH0')"
"('Q96T58', 'P53582')"
"('Q9UL45', 'Q12929')"
"('P49716', 'Q13370')"
"('P17252', 'P59768')"
"('Q96J77', 'P08651')"
"('P01889', 'P06748')"
"('Q96BN2', 'Q9H0E3')"
"('O60825', 'P63104')"
"('P04183', 'P26373')"
"('O14744', 'P02686')"
"('P17987', 'P27348')"
"('P35241', 'P52565')"
"('Q07890', 'P00519')"
"('P49917', 'Q8IW19')"
"('P12110', 'P17301')"
"('Q7Z5H3', 'P62745')"
"('P27482', 'P11217')"
"('Q9H8M9', 'P21673')"
"('P16885', 'Q86XP0')"
"('P63261', 'Q01201')"
"('Q8N9I9', 'P62837')"
"('Q12933', 'Q92851')"
"('Q12933', 'P41273')"
"('P11171', 'Q9HB71')"
"('Q13131', 'O60825')"
